MTRL_ID,MTRL_ALIAS,UPPER_ID
"1","原料","-1"
"2","炼油产品","-1"
"3","化工产品","-1"
"293","燃料气","2"
"294","异丁烷液化气","293"
"295","对二甲苯","2"
"296","汽煤柴","2"
"297","汽油","296"
"298","车用汽油","297"
"299","(车用汽油92#)国ⅥA","298"
"300","(车用汽油95#)国ⅥA","298"
"301","(车用汽油98#)国ⅥA","298"
"302","出口汽油","297"
"303","(出口汽油)92#","302"
"304","(出口汽油)95#","302"
"305","(出口汽油)98#","302"
"306","乙醇汽油","297"
"307","柴油","296"
"308","车用柴油","307"
"309","军用柴油","307"
"310","出口柴油","307"
"311","煤油","296"
"312","出口航煤","311"
"313","精制航煤","311"
"314","润滑油","296"
"315","原料油","2"
"316","燃料油","2"
"317","重质船用燃料油","316"
"318","溶剂油","2"
"319","石蜡","2"
"320","石油沥青","2"
"321","沥青产品","320"
"322","石油焦","2"
"323","炼油半产品","2"
"324","汽油组分","323"
"325","汽油半成品","324"
"326","催化汽油","324"
"327","脱硫汽油","324"
"328","粗裂解汽油","324"
"329","加氢裂解汽油","324"
"330","抽余油","324"
"331","抽出油","324"
"332","轻重整油","324"
"333","异戊烷油","324"
"334","加氢汽油","324"
"335","甲苯","324"
"336","粗甲苯","324"
"337","烷基化油","324"
"338","催化/焦化干气分离抽出汽油","324"
"339","加氢/PSA干气分离抽出汽油","324"
"340","柴油组分","323"
"341","柴油半成品","340"
"342","蜡油加氢柴油","340"
"343","常减压重柴油","340"
"344","常减压轻柴油","340"
"345","催化轻柴油","340"
"346","催化重柴油","340"
"347","加氢裂化柴油","340"
"348","焦化柴油","340"
"349","柴油加氢柴油","340"
"350","混合柴油","340"
"351","0#柴油半成品","340"
"352","煤油组份","323"
"353","直馏航煤","352"
"354","柴油加氢航煤","352"
"355","蜡油组分","323"
"356","减压重蜡油馏分","355"
"357","减压中蜡油馏分","355"
"358","常减压减压轻蜡油馏分","355"
"359","焦化蜡油","355"
"360","蜡油加氢蜡油","355"
"361","加氢裂化尾油","355"
"362","燃料气(半产品）","323"
"363","轻烃分离富甲烷气","362"
"364","POX解吸气","362"
"365","干气分离燃料气","362"
"366","乙烯富甲烷气","362"
"367","渣油","323"
"368","减压渣油","367"
"369","催化油浆","367"
"370","混合渣油","367"
"371","污油","323"
"372","轻污油","371"
"373","重污油","371"
"374","凝缩油","371"
"375","石脑油","323"
"376","常压石脑油","375"
"377","加氢轻石脑油","375"
"378","加氢处理轻石脑油","375"
"379","加氢处理重石脑油","375"
"380","焦化石脑油","375"
"381","焦化精制石脑油","375"
"382","加氢裂化轻石脑油","375"
"383","加氢裂化重石脑油","375"
"384","柴油加氢轻石脑油","375"
"385","柴油加氢重石脑油","375"
"386","航煤加氢粗石脑油","375"
"387","蜡油加氢粗石脑油","375"
"388","正异构化石脑油","375"
"389","混合石脑油","375"
"390","石油焦(半产品）","323"
"391","石油焦/煤","390"
"392","石油焦粗渣","390"
"393","石油焦细渣","390"
"394","液化气","293"
"395","常压液化气","394"
"396","脱硫常压液化气","394"
"397","焦化液化气","394"
"398","催化液化气","394"
"399","重整液化气","394"
"400","柴油加氢液化气","394"
"401","加氢裂化液化气","394"
"402","加氢含硫液化气","394"
"403","加氢液化气","394"
"404","混合碳四(炼油）","394"
"405","干气","323"
"406","净化干气","405"
"407","异构化干气","405"
"408","歧化干气","405"
"409","加氢裂化干气","405"
"410","航煤加氢干气","405"
"411","汽油加氢干气","405"
"412","石脑油加氢干气","405"
"413","焦化石脑油加氢干气","405"
"414","催化干气","405"
"415","焦化干气","405"
"416","蜡油加氢干气","405"
"417","航煤加氢精制干气","405"
"418","柴油加氢干气","405"
"419","混合干气","405"
"420","富乙烯气","405"
"421","富乙烷气","405"
"422","常压不凝气","405"
"423","减压不凝气","405"
"424","PSA解吸气","405"
"425","氢气","323"
"426","纯氢","425"
"427","POX氢气","426"
"428","PSA氢气","426"
