original_column_name,column_name,column_description,data_format,value_description
HTAN_Data_File_ID,HTAN_Data_File_ID,,TEXT,
entityId,entityId,,TEXT,
Id,Id,,TEXT,
HTAN_Parent_Biospecimen_ID,HTAN_Parent_Biospecimen_ID,,TEXT,
Manifest_Id,Manifest_Id,,TEXT,
CDS_Release,CDS_Release,,TEXT,
Adapter_Name,Adapter_Name,,TEXT,
Data_Release,Data_Release,,TEXT,
Lane_Number,Lane_Number,,TEXT,
Library_Preparation_Days_from_Index,Library_Preparation_Days_from_Index,,TEXT,
Base_Caller_Version,Base_Caller_Version,,TEXT,
Base_Caller_Name,Base_Caller_Name,,TEXT,
HTAN_Center,HTAN_Center,,TEXT,
Multiplex_Barcode,Multiplex_Barcode,,TEXT,
Library_Layout,Library_Layout,,TEXT,
Sequencing_Platform,Sequencing_Platform,,TEXT,
Target_Capture_Kit,Target_Capture_Kit,,TEXT,
Manifest_Version,Manifest_Version,,DOUBLE,
Library_Selection_Method,Library_Selection_Method,,TEXT,
To_Trim_Adapter_Sequence,To_Trim_Adapter_Sequence,,TEXT,
File_Size,File_Size,,DOUBLE,
Fragment_Maximum_Length,Fragment_Maximum_Length,,TEXT,
Component,Component,,TEXT,
Flow_Cell_Barcode,Flow_Cell_Barcode,,TEXT,
Size_Selection_Range,Size_Selection_Range,,TEXT,
Sequencing_Batch_ID,Sequencing_Batch_ID,,TEXT,
Fragment_Mean_Length,Fragment_Mean_Length,,TEXT,
Target_Depth,Target_Depth,,TEXT,
Library_Preparation_Kit_Name,Library_Preparation_Kit_Name,,TEXT,
Adapter_Sequence,Adapter_Sequence,,TEXT,
Read_Indicator,Read_Indicator,,TEXT,
Filename,Filename,,TEXT,
Library_Preparation_Kit_Version,Library_Preparation_Kit_Version,,TEXT,
Fragment_Minimum_Length,Fragment_Minimum_Length,,TEXT,
Read_Length,Read_Length,,TEXT,
File_Format,File_Format,,TEXT,
Fragment_Standard_Deviation_Length,Fragment_Standard_Deviation_Length,,TEXT,
Library_Preparation_Kit_Vendor,Library_Preparation_Kit_Vendor,,TEXT,
md5,md5,,TEXT,
