original_column_name,column_name,column_description,data_format,value_description
Id,Id,,TEXT,
Manifest_Id,Manifest_Id,,TEXT,
entityId,entityId,,TEXT,
HTAN_Participant_ID,HTAN_Participant_ID,,TEXT,
Component,Component,,TEXT,
ECOG_Performance_Status,ECOG_Performance_Status,,TEXT,
Days_to_Recurrence,Days_to_Recurrence,,TEXT,
Days_to_Progression,Days_to_Progression,,TEXT,
Immunosuppressive_Treatment_Type,Immunosuppressive_Treatment_Type,,TEXT,
Risk_Factor_Treatment,Risk_Factor_Treatment,,TEXT,
HAART_Treatment_Indicator,HAART_Treatment_Indicator,,TEXT,
Evidence_of_Recurrence_Type,Evidence_of_Recurrence_Type,,TEXT,
Viral_Hepatitis_Serologies,Viral_Hepatitis_Serologies,,TEXT,
HTAN_Center,HTAN_Center,,TEXT,
Imaging_Type,Imaging_Type,,TEXT,
Manifest_Version,Manifest_Version,,DOUBLE,
Recist_Targeted_Regions_Number,Recist_Targeted_Regions_Number,,TEXT,
Adverse_Event_Grade,Adverse_Event_Grade,,TEXT,
Reflux_Treatment_Type,Reflux_Treatment_Type,,TEXT,
AIDS_Risk_Factors,AIDS_Risk_Factors,,TEXT,
FEV1_Ref_Pre_Bronch_Percent,FEV1_Ref_Pre_Bronch_Percent,,TEXT,
HIV_Viral_Load,HIV_Viral_Load,,TEXT,
Imaging_Result,Imaging_Result,,TEXT,
Pregnancy_Outcome,Pregnancy_Outcome,,TEXT,
FEV1_FVC_Post_Bronch_Percent,FEV1_FVC_Post_Bronch_Percent,,TEXT,
Diabetes_Treatment_Type,Diabetes_Treatment_Type,,TEXT,
Risk_Factor,Risk_Factor,,TEXT,
Comorbidity,Comorbidity,,TEXT,
HPV_Positive_Type,HPV_Positive_Type,,TEXT,
Days_to_Comorbidity,Days_to_Comorbidity,,TEXT,
Days_to_imaging,Days_to_imaging,,TEXT,
CD4_Count,CD4_Count,,TEXT,
Disease_Response,Disease_Response,,TEXT,
Hormonal_Contraceptive_Use,Hormonal_Contraceptive_Use,,TEXT,
BMI,BMI,,TEXT,
Karnofsky_Performance_Status,Karnofsky_Performance_Status,,TEXT,
Days_to_Follow_Up,Days_to_Follow_Up,,TEXT,
Progression_or_Recurrence_Anatomic_Site,Progression_or_Recurrence_Anatomic_Site,,TEXT,
Progression_or_Recurrence_Type,Progression_or_Recurrence_Type,,TEXT,
Pancreatitis_Onset_Year,Pancreatitis_Onset_Year,,TEXT,
Hysterectomy_Margins_Involved,Hysterectomy_Margins_Involved,,TEXT,
Nadir_CD4_Count,Nadir_CD4_Count,,TEXT,
FEV_1_FVC_Pre_Bronch_Percent,FEV_1_FVC_Pre_Bronch_Percent,,TEXT,
CDC_HIV_Risk_Factors,CDC_HIV_Risk_Factors,,TEXT,
Barretts_Esophagus_Goblet_Cells_Present,Barretts_Esophagus_Goblet_Cells_Present,,TEXT,
Progression_or_Recurrence,Progression_or_Recurrence,,TEXT,
Days_to_Progression_Free,Days_to_Progression_Free,,TEXT,
Hysterectomy_Type,Hysterectomy_Type,,TEXT,
Menopause_Status,Menopause_Status,,TEXT,
Days_to_Adverse_Event,Days_to_Adverse_Event,,TEXT,
Scan_Tracer_Used,Scan_Tracer_Used,,TEXT,
DLCO_Ref_Predictive_Percent,DLCO_Ref_Predictive_Percent,,TEXT,
Cause_of_Response,Cause_of_Response,,TEXT,
Height,Height,,TEXT,
Comorbidity_Method_of_Diagnosis,Comorbidity_Method_of_Diagnosis,,TEXT,
Weight,Weight,,TEXT,
Body_Surface_Area,Body_Surface_Area,,TEXT,
Recist_Targeted_Regions_Sum,Recist_Targeted_Regions_Sum,,TEXT,
Hepatitis_Sustained_Virological_Response,Hepatitis_Sustained_Virological_Response,,TEXT,
Adverse_Event,Adverse_Event,,TEXT,
FEV1_Ref_Post_Bronch_Percent,FEV1_Ref_Post_Bronch_Percent,,TEXT,
