original_column_name,column_name,column_description,data_format,value_description
entityId,entityId,,TEXT,
HTAN_Participant_ID,HTAN_Participant_ID,,TEXT,
Number_of_Cycles,Number_of_Cycles,,TEXT,
Treatment_Dose_Units,Treatment_Dose_Units,,TEXT,
Treatment_Effect_Indicator,Treatment_Effect_Indicator,,TEXT,
Therapeutic_Agents,Therapeutic_Agents,,TEXT,
Immunosuppression,Immunosuppression,,TEXT,
Treatment_Intent_Type,Treatment_Intent_Type,,TEXT,
Days_to_Treatment_End,Days_to_Treatment_End,,TEXT,
Treatment_Arm,Treatment_Arm,,TEXT,
Treatment_Type,Treatment_Type,,TEXT,
Component,Component,,TEXT,
Reason_Treatment_Ended,Reason_Treatment_Ended,,TEXT,
Treatment_Outcome,Treatment_Outcome,,TEXT,
Initial_Disease_Status,Initial_Disease_Status,,TEXT,
Prior_Sites_of_Radiation,Prior_Sites_of_Radiation,,TEXT,
Regimen_or_Line_of_Therapy,Regimen_or_Line_of_Therapy,,TEXT,
Treatment_Anatomic_Site,Treatment_Anatomic_Site,,TEXT,
Treatment_Dose,Treatment_Dose,,TEXT,
Concomitant_Medication_Received_Type,Concomitant_Medication_Received_Type,,TEXT,
Data_Release,Data_Release,,TEXT,
Treatment_Frequency,Treatment_Frequency,,TEXT,
Treatment_Effect,Treatment_Effect,,TEXT,
Chemo_Concurrent_to_Radiation,Chemo_Concurrent_to_Radiation,,TEXT,
Days_to_Treatment_Start,Days_to_Treatment_Start,,TEXT,
HTAN_Center,HTAN_Center,,TEXT,
Treatment_or_Therapy,Treatment_or_Therapy,,TEXT,
