original_column_name,column_name,column_description,data_format,value_description
HTAN_PARTICIPANT_ID,HTAN_PARTICIPANT_ID,,TEXT,
HTAN_PARENT_DATA_FILE_ID,HTAN_PARENT_DATA_FILE_ID,,TEXT,
HTAN_ASSAYED_BIOSPECIMEN_ID,HTAN_ASSAYED_BIOSPECIMEN_ID,,TEXT,
ENTITYID,ENTITYID,,TEXT,
HTAN_ORIGINATING_BIOSPECIMEN_ID,HTAN_ORIGINATING_BIOSPECIMEN_ID,,TEXT,
HTAN_DATA_FILE_ID,HTAN_DATA_FILE_ID,,TEXT,
FILENAME,FILENAME,,TEXT,
COMPONENT,COMPONENT,,TEXT,
CDS_RELEASE,CDS_RELEASE,,TEXT,
BIOSPECIMEN_PATH,BIOSPECIMEN_PATH,,TEXT,
DATA_RELEASE,DATA_RELEASE,,TEXT,
HTAN_CENTER,HTAN_CENTER,,TEXT,
