original_column_name,column_name,column_description,data_format,value_description
entityId,entityId,,TEXT,
Commit_SHA,Commit_SHA,,TEXT,
md5,md5,,TEXT,
Id,Id,,TEXT,
HTAN_Data_File_ID,HTAN_Data_File_ID,,TEXT,
Manifest_Id,Manifest_Id,,TEXT,
HTAN_Parent_Biospecimen_ID,HTAN_Parent_Biospecimen_ID,,TEXT,
Manifest_Version,Manifest_Version,,DOUBLE,
Pre_processing_Completed,Pre_processing_Completed,,TEXT,
Comment,Comment,,TEXT,
Data_Release,Data_Release,,TEXT,
Software_and_Version,Software_and_Version,,TEXT,
HTAN_Center,HTAN_Center,,TEXT,
File_Format,File_Format,,TEXT,
Imaging_Assay_Type,Imaging_Assay_Type,,TEXT,
Protocol_Link,Protocol_Link,,TEXT,
CDS_Release,CDS_Release,,TEXT,
Filename,Filename,,TEXT,
File_Size,File_Size,,DOUBLE,
Component,Component,,TEXT,
Pre_processing_Required,Pre_processing_Required,,TEXT,
