original_column_name,column_name,column_description,data_format,value_description
HTAN_Biospecimen_ID,HTAN_Biospecimen_ID,,TEXT,
Source_entityId,Source_entityId,,TEXT,
HTAN_Data_File_ID,HTAN_Data_File_ID,,TEXT,
CellID,CellID,,DOUBLE,
CD16,CD16,,DOUBLE,
Hoechst8,Hoechst8,,DOUBLE,
PD_1,PD_1,,DOUBLE,
VEGFR2,VEGFR2,,DOUBLE,
MajorAxisLength,MajorAxisLength,,DOUBLE,
Ki67,Ki67,,DOUBLE,
PCNA,PCNA,,DOUBLE,
Desmin,Desmin,,DOUBLE,
cPARP,cPARP,,DOUBLE,
Orientation,Orientation,,DOUBLE,
CD31,CD31,,DOUBLE,
CD3,CD3,,DOUBLE,
A555,A555,,DOUBLE,
DNA_12,DNA_12,,DOUBLE,
row_centroid,row_centroid,,DOUBLE,
pERK,pERK,,DOUBLE,
Hoechst10,Hoechst10,,DOUBLE,
DNA_8,DNA_8,,DOUBLE,
CD11c,CD11c,,DOUBLE,
Hoechst9,Hoechst9,,DOUBLE,
NaKATPase,NaKATPase,,DOUBLE,
DNA_1,DNA_1,,DOUBLE,
ZEB1,ZEB1,,DOUBLE,
NGFR,NGFR,,DOUBLE,
Hoechst12,Hoechst12,,DOUBLE,
PD_L1,PD_L1,,DOUBLE,
FN3,FN3,,DOUBLE,
DNA_6,DNA_6,,DOUBLE,
H3K27me3,H3K27me3,,DOUBLE,
DNA_2,DNA_2,,DOUBLE,
DNA_3,DNA_3,,DOUBLE,
S100a,S100a,,DOUBLE,
Hoechst3,Hoechst3,,DOUBLE,
PDPN,PDPN,,DOUBLE,
E_Cad,E_Cad,,DOUBLE,
Source_filename,Source_filename,,TEXT,
beta_Catenin,beta_Catenin,,DOUBLE,
CD14,CD14,,DOUBLE,
Hoechst2,Hoechst2,,DOUBLE,
EGFR,EGFR,,DOUBLE,
Hoechst11,Hoechst11,,DOUBLE,
pTyr,pTyr,,DOUBLE,
pS6_235,pS6_235,,DOUBLE,
Hoechst5,Hoechst5,,DOUBLE,
Eccentricity,Eccentricity,,DOUBLE,
HLA_DR,HLA_DR,,DOUBLE,
LAG3,LAG3,,DOUBLE,
p53,p53,,DOUBLE,
Unnamed_46,Unnamed_46,,DOUBLE,
CD24,CD24,,DOUBLE,
CD163,CD163,,DOUBLE,
CD68,CD68,,DOUBLE,
DNA_5,DNA_5,,DOUBLE,
A647,A647,,DOUBLE,
CD44,CD44,,DOUBLE,
CD20,CD20,,DOUBLE,
panCK,panCK,,DOUBLE,
Hoechst1,Hoechst1,,DOUBLE,
MCM6,MCM6,,DOUBLE,
A488,A488,,DOUBLE,
DNA_11,DNA_11,,DOUBLE,
p_TBK1,p_TBK1,,DOUBLE,
CDX2,CDX2,,DOUBLE,
DNA_10,DNA_10,,DOUBLE,
CD15,CD15,,DOUBLE,
SMA_2,SMA_2,,DOUBLE,
STING,STING,,DOUBLE,
CD4,CD4,,DOUBLE,
DNA_4,DNA_4,,DOUBLE,
KAP1,KAP1,,DOUBLE,
Vimentin,Vimentin,,DOUBLE,
column_centroid,column_centroid,,DOUBLE,
Area,Area,,DOUBLE,
Hoechst4,Hoechst4,,DOUBLE,
Hoechst6,Hoechst6,,DOUBLE,
DNA_7,DNA_7,,DOUBLE,
Extent,Extent,,DOUBLE,
Y_centroid,Y_centroid,,DOUBLE,
HLA_A,HLA_A,,DOUBLE,
pRB,pRB,,DOUBLE,
HTAN_Center,HTAN_Center,,TEXT,
DNA_9,DNA_9,,DOUBLE,
H3K27ac,H3K27ac,,DOUBLE,
Solidity,Solidity,,DOUBLE,
Hoechst13,Hoechst13,,DOUBLE,
CD45,CD45,,DOUBLE,
TIM3,TIM3,,DOUBLE,
CD11b,CD11b,,DOUBLE,
H2ax,H2ax,,DOUBLE,
GranzymeB,GranzymeB,,DOUBLE,
SMA_1,SMA_1,,DOUBLE,
FOXP3,FOXP3,,DOUBLE,
N_Cadherin,N_Cadherin,,DOUBLE,
p21,p21,,DOUBLE,
pSRC,pSRC,,DOUBLE,
Hoechst7,Hoechst7,,DOUBLE,
Nestin,Nestin,,DOUBLE,
CD8a,CD8a,,DOUBLE,
CD57,CD57,,DOUBLE,
GFAP,GFAP,,DOUBLE,
MinorAxisLength,MinorAxisLength,,DOUBLE,
IRF_1,IRF_1,,DOUBLE,
X_centroid,X_centroid,,DOUBLE,
pSTAT1,pSTAT1,,DOUBLE,
