original_column_name,column_name,column_description,data_format,value_description
HTAN_Parent_Data_File_ID,HTAN_Parent_Data_File_ID,,TEXT,
entityId,entityId,,TEXT,
Manifest_Id,Manifest_Id,,TEXT,
Id,Id,,TEXT,
HTAN_Data_File_ID,HTAN_Data_File_ID,,TEXT,
Cell_Barcode_Tag,Cell_Barcode_Tag,,TEXT,
Data_Release,Data_Release,,TEXT,
File_Format,File_Format,,TEXT,
Filename,Filename,,TEXT,
Applied_Hard_Trimming,Applied_Hard_Trimming,,TEXT,
Genomic_Reference_URL,Genomic_Reference_URL,,TEXT,
scRNAseq_Workflow_Parameters_Description,scRNAseq_Workflow_Parameters_Description,,TEXT,
scRNAseq_Workflow_Type,scRNAseq_Workflow_Type,,TEXT,
CDS_Release,CDS_Release,,TEXT,
Aligned_Read_Length,Aligned_Read_Length,,TEXT,
Workflow_Version,Workflow_Version,,TEXT,
Component,Component,,TEXT,
File_Size,File_Size,,DOUBLE,
Whitelist_Cell_Barcode_File_Link,Whitelist_Cell_Barcode_File_Link,,TEXT,
UMI_Tag,UMI_Tag,,TEXT,
md5,md5,,TEXT,
Genome_Annotation_URL,Genome_Annotation_URL,,TEXT,
Workflow_Link,Workflow_Link,,TEXT,
Genomic_Reference,Genomic_Reference,,TEXT,
Manifest_Version,Manifest_Version,,DOUBLE,
HTAN_Center,HTAN_Center,,TEXT,
Checksum,Checksum,,TEXT,
