original_column_name,column_name,column_description,data_format,value_description
feature_reference,feature_reference,,TEXT,
development_stage_ontology_term_id,development_stage_ontology_term_id,,TEXT,
disease_ontology_term_id,disease_ontology_term_id,,TEXT,
self_reported_ethnicity_ontology_term_id,self_reported_ethnicity_ontology_term_id,,TEXT,
HTAN_Biospecimen_ID,HTAN_Biospecimen_ID,,TEXT,
cell_type_ontology_term_id,cell_type_ontology_term_id,,TEXT,
organism_ontology_term_id,organism_ontology_term_id,,TEXT,
assay_ontology_term_id,assay_ontology_term_id,,TEXT,
tissue_ontology_term_id,tissue_ontology_term_id,,TEXT,
batch,batch,,TEXT,
sex_ontology_term_id,sex_ontology_term_id,,TEXT,
donor_id,donor_id,,TEXT,
HTAN_Participant_ID,HTAN_Participant_ID,,TEXT,
organism,organism,,TEXT,
iVar,iVar,,DOUBLE,
log1p_n_genes_by_counts,log1p_n_genes_by_counts,,DOUBLE,
tissue,tissue,,TEXT,
cell_type,cell_type,,TEXT,
clusters_fine,clusters_fine,,TEXT,
X_value,X_value,,DOUBLE,
disease,disease,,TEXT,
feature_is_filtered,feature_is_filtered,,BOOLEAN,
suspension_type,suspension_type,,TEXT,
iObs,iObs,,DOUBLE,
development_stage,development_stage,,TEXT,
n_genes_by_counts,n_genes_by_counts,,DOUBLE,
total_counts,total_counts,,DOUBLE,
self_reported_ethnicity,self_reported_ethnicity,,TEXT,
mito_frac,mito_frac,,DOUBLE,
sex,sex,,TEXT,
assay,assay,,TEXT,
feature_biotype,feature_biotype,,TEXT,
RBP_frac,RBP_frac,,DOUBLE,
procedure,procedure,,TEXT,
is_primary_data,is_primary_data,,BOOLEAN,
SCLC_subtype,SCLC_subtype,,TEXT,
feature_name,feature_name,,TEXT,
clusters,clusters,,DOUBLE,
recurrent_cluster,recurrent_cluster,,TEXT,
log1p_total_counts,log1p_total_counts,,DOUBLE,
