original_column_name,column_name,column_description,data_format,value_description
HTAN_PARTICIPANT_ID,HTAN_PARTICIPANT_ID,,TEXT,
ENTITYID,ENTITYID,,TEXT,
ID,ID,,TEXT,
MANIFEST_ID,MANIFEST_ID,,TEXT,
CAUSE_OF_DEATH_SOURCE,CAUSE_OF_DEATH_SOURCE,,TEXT,
MANIFEST_VERSION,MANIFEST_VERSION,,DOUBLE,
COUNTRY_OF_RESIDENCE,COUNTRY_OF_RESIDENCE,,TEXT,
RACE,RACE,,TEXT,
ETHNICITY,ETHNICITY,,TEXT,
GENDER,GENDER,,TEXT,
OCCUPATION_DURATION_YEARS,OCCUPATION_DURATION_YEARS,,TEXT,
AGE_IS_OBFUSCATED,AGE_IS_OBFUSCATED,,TEXT,
YEAR_OF_BIRTH,YEAR_OF_BIRTH,,TEXT,
CAUSE_OF_DEATH,CAUSE_OF_DEATH,,TEXT,
DAYS_TO_BIRTH,DAYS_TO_BIRTH,,TEXT,
YEAR_OF_DEATH,YEAR_OF_DEATH,,TEXT,
PREMATURE_AT_BIRTH,PREMATURE_AT_BIRTH,,TEXT,
WEEKS_GESTATION_AT_BIRTH,WEEKS_GESTATION_AT_BIRTH,,TEXT,
HTAN_CENTER,HTAN_CENTER,,TEXT,
DAYS_TO_DEATH,DAYS_TO_DEATH,,TEXT,
VITAL_STATUS,VITAL_STATUS,,TEXT,
COMPONENT,COMPONENT,,TEXT,
