original_column_name,column_name,column_description,data_format,value_description
Manifest_Id,Manifest_Id,,TEXT,
HTAN_Parent_Data_File_ID,HTAN_Parent_Data_File_ID,,TEXT,
Id,Id,,TEXT,
entityId,entityId,,TEXT,
HTAN_Data_File_ID,HTAN_Data_File_ID,,TEXT,
Filename,Filename,,TEXT,
Component,Component,,TEXT,
Data_Release,Data_Release,,TEXT,
HTAN_Center,HTAN_Center,,TEXT,
Tile_overlap_X,Tile_overlap_X,,TEXT,
md5,md5,,TEXT,
CDS_Release,CDS_Release,,TEXT,
File_Format,File_Format,,TEXT,
Manifest_Version,Manifest_Version,,DOUBLE,
EM_contrast_type,EM_contrast_type,,TEXT,
File_Size,File_Size,,DOUBLE,
Tile_overlap_Y,Tile_overlap_Y,,TEXT,
