original_column_name,column_name,column_description,data_format,value_description
Source_entityId,Source_entityId,,TEXT,
HTAN_Biospecimen_ID,HTAN_Biospecimen_ID,,TEXT,
CellID,CellID,,DOUBLE,
HTAN_Data_File_ID,HTAN_Data_File_ID,,TEXT,
CD14,CD14,,DOUBLE,
CD31,CD31,,DOUBLE,
Solidity,Solidity,,DOUBLE,
HLA_DPB1,HLA_DPB1,,DOUBLE,
A555,A555,,DOUBLE,
anti_Mouse,anti_Mouse,,DOUBLE,
pERK_555,pERK_555,,DOUBLE,
CK5,CK5,,DOUBLE,
Eccentricity,Eccentricity,,DOUBLE,
Hoechst3,Hoechst3,,DOUBLE,
LaminA_C,LaminA_C,,DOUBLE,
Rad51,Rad51,,DOUBLE,
CD45R,CD45R,,DOUBLE,
Hoechst1,Hoechst1,,DOUBLE,
DNA2,DNA2,,DOUBLE,
A555 d_a_rabbit,A555 d_a_rabbit,,DOUBLE,
IBA1,IBA1,,DOUBLE,
PD_L1 _28_8_,PD_L1 _28_8_,,DOUBLE,
Pan_CK,Pan_CK,,DOUBLE,
PolICTD,PolICTD,,DOUBLE,
LAG3,LAG3,,DOUBLE,
anti_Goat,anti_Goat,,DOUBLE,
CD45_2,CD45_2,,DOUBLE,
PD_L1__SP142_,PD_L1__SP142_,,DOUBLE,
Hoechst5,Hoechst5,,DOUBLE,
DNA8,DNA8,,DOUBLE,
DNA4,DNA4,,DOUBLE,
Hoechst4,Hoechst4,,DOUBLE,
CK19,CK19,,DOUBLE,
HER2,HER2,,DOUBLE,
GranB,GranB,,DOUBLE,
Hoechst2,Hoechst2,,DOUBLE,
Hoechst10,Hoechst10,,DOUBLE,
CD45_1,CD45_1,,DOUBLE,
PD_1,PD_1,,DOUBLE,
donkey_anti_mouse,donkey_anti_mouse,,DOUBLE,
CD11b,CD11b,,DOUBLE,
PDL1,PDL1,,DOUBLE,
aSMA,aSMA,,DOUBLE,
Cytochrome C,Cytochrome C,,DOUBLE,
LAG3_555,LAG3_555,,DOUBLE,
SMA,SMA,,DOUBLE,
Y_centroid,Y_centroid,,DOUBLE,
AF488,AF488,,DOUBLE,
Ecad,Ecad,,DOUBLE,
Hoechst7,Hoechst7,,DOUBLE,
HTAN_Center,HTAN_Center,,TEXT,
p53,p53,,DOUBLE,
GZMB,GZMB,,DOUBLE,
AF647,AF647,,DOUBLE,
pTBK1,pTBK1,,DOUBLE,
CK7,CK7,,DOUBLE,
DNA1,DNA1,,DOUBLE,
HLAA,HLAA,,DOUBLE,
CD3d,CD3d,,DOUBLE,
NKP46,NKP46,,DOUBLE,
anti_Rabbit,anti_Rabbit,,DOUBLE,
CD68,CD68,,DOUBLE,
Hoechst9,Hoechst9,,DOUBLE,
CD4,CD4,,DOUBLE,
PanCK,PanCK,,DOUBLE,
PD1,PD1,,DOUBLE,
Area,Area,,DOUBLE,
MinorAxisLength,MinorAxisLength,,DOUBLE,
CK17,CK17,,DOUBLE,
CD3_Rat_,CD3_Rat_,,DOUBLE,
CD20,CD20,,DOUBLE,
CD3,CD3,,DOUBLE,
LaminABC,LaminABC,,DOUBLE,
p21,p21,,DOUBLE,
PD_L1_,PD_L1_,,DOUBLE,
cPARP,cPARP,,DOUBLE,
AF555,AF555,,DOUBLE,
CD8a,CD8a,,DOUBLE,
MajorAxisLength,MajorAxisLength,,DOUBLE,
CD163,CD163,,DOUBLE,
ER,ER,,DOUBLE,
goat_anti_rabbit,goat_anti_rabbit,,DOUBLE,
CD16,CD16,,DOUBLE,
H2Ax,H2Ax,,DOUBLE,
CD11c,CD11c,,DOUBLE,
Hoechst8,Hoechst8,,DOUBLE,
Hoechst6,Hoechst6,,DOUBLE,
Source_filename,Source_filename,,TEXT,
A488,A488,,DOUBLE,
HLA_DR,HLA_DR,,DOUBLE,
X_centroid,X_centroid,,DOUBLE,
FOXP3,FOXP3,,DOUBLE,
CK18,CK18,,DOUBLE,
CD57,CD57,,DOUBLE,
PR,PR,,DOUBLE,
TMEM173,TMEM173,,DOUBLE,
A647 d_a_mouse,A647 d_a_mouse,,DOUBLE,
LAG_3,LAG_3,,DOUBLE,
DNA3,DNA3,,DOUBLE,
EGFR,EGFR,,DOUBLE,
A647,A647,,DOUBLE,
PD_L1 _E1L3N_,PD_L1 _E1L3N_,,DOUBLE,
Vimentin,Vimentin,,DOUBLE,
Orientation,Orientation,,DOUBLE,
CCND1,CCND1,,DOUBLE,
CD15,CD15,,DOUBLE,
CD45RO,CD45RO,,DOUBLE,
PDPN,PDPN,,DOUBLE,
pSTAT3,pSTAT3,,DOUBLE,
CD45,CD45,,DOUBLE,
pRB,pRB,,DOUBLE,
pH3,pH3,,DOUBLE,
DNA7,DNA7,,DOUBLE,
PD_L1,PD_L1,,DOUBLE,
ZEB1,ZEB1,,DOUBLE,
PCNA,PCNA,,DOUBLE,
AR,AR,,DOUBLE,
pERK,pERK,,DOUBLE,
Ki67,Ki67,,DOUBLE,
DNA6,DNA6,,DOUBLE,
CD44,CD44,,DOUBLE,
A488 d_a_rat,A488 d_a_rat,,DOUBLE,
DNA5,DNA5,,DOUBLE,
CK14,CK14,,DOUBLE,
Extent,Extent,,DOUBLE,
