original_column_name,column_name,column_description,data_format,value_description
iObs,iObs,,DOUBLE,
Sample,Sample,,TEXT,
iVar,iVar,,DOUBLE,
Cell_Name,Cell_Name,,TEXT,
G2M_Score,G2M_Score,,DOUBLE,
Cell_Type,Cell_Type,,TEXT,
S_Score,S_Score,,DOUBLE,
Phase,Phase,,TEXT,
nFeature_RNA,nFeature_RNA,,DOUBLE,
X_value,X_value,,DOUBLE,
nCount_RNA,nCount_RNA,,DOUBLE,
Perc_mito,Perc_mito,,DOUBLE,
Seurat_Clusters,Seurat_Clusters,,DOUBLE,
Gene_Name,Gene_Name,,TEXT,
Pseudotime,Pseudotime,,DOUBLE,
HeatShock_Score,HeatShock_Score,,DOUBLE,
