original_column_name,column_name,column_description,data_format,value_description
HTAN_Data_File_ID,HTAN_Data_File_ID,,TEXT,
Manifest_Id,Manifest_Id,,TEXT,
HTAN_Parent_Biospecimen_ID,HTAN_Parent_Biospecimen_ID,,TEXT,
Slide_ID,Slide_ID,,TEXT,
entityId,entityId,,TEXT,
Run_ID,Run_ID,,TEXT,
Id,Id,,TEXT,
HTAN_Parent_Data_File_ID,HTAN_Parent_Data_File_ID,,TEXT,
CDS_Release,CDS_Release,,TEXT,
Data_Release,Data_Release,,TEXT,
Component,Component,,TEXT,
File_Format,File_Format,,TEXT,
HTAN_Center,HTAN_Center,,TEXT,
Filename,Filename,,TEXT,
Workflow_Link,Workflow_Link,,TEXT,
md5,md5,,TEXT,
Workflow_Version,Workflow_Version,,TEXT,
Capture_Area,Capture_Area,,TEXT,
Manifest_Version,Manifest_Version,,DOUBLE,
Visium_File_Type,Visium_File_Type,,TEXT,
File_Size,File_Size,,DOUBLE,
