original_column_name,column_name,column_description,data_format,value_description
gene_id,gene_id,,TEXT,
study_id,study_id,,TEXT,
y_proba_logi_pathogenicity,y_proba_logi_pathogenicity,,DOUBLE,
alt,alt,,TEXT,
chrom,chrom,,TEXT,
y_proba_logi_molecularQTL,y_proba_logi_molecularQTL,,DOUBLE,
pos,pos,,DOUBLE,
y_proba_dist_foot,y_proba_dist_foot,,DOUBLE,
y_proba_logo_molecularQTL,y_proba_logo_molecularQTL,,DOUBLE,
training_gs,training_gs,,TEXT,
training_clf,training_clf,,TEXT,
ref,ref,,TEXT,
y_proba_logo_interaction,y_proba_logo_interaction,,DOUBLE,
y_proba_logi_interaction,y_proba_logi_interaction,,DOUBLE,
y_proba_logo_pathogenicity,y_proba_logo_pathogenicity,,DOUBLE,
training_fold,training_fold,,TEXT,
y_proba_logi_distance,y_proba_logi_distance,,DOUBLE,
y_proba_logo_distance,y_proba_logo_distance,,DOUBLE,
y_proba_full_model,y_proba_full_model,,DOUBLE,
y_proba_dist_tss,y_proba_dist_tss,,DOUBLE,
