original_column_name,column_name,column_description,data_format,value_description
pmid,pmid,,TEXT,
study_id,study_id,,TEXT,
trait_category,trait_category,,TEXT,
num_assoc_loci,num_assoc_loci,,DOUBLE,
n_initial,n_initial,,DOUBLE,
pub_title,pub_title,,TEXT,
pub_journal,pub_journal,,TEXT,
pub_date,pub_date,,TEXT,
source,source,,TEXT,
trait_reported,trait_reported,,TEXT,
n_cases,n_cases,,DOUBLE,
ancestry_replication,ancestry_replication,,JSON,
n_replication,n_replication,,DOUBLE,
has_sumstats,has_sumstats,,BOOLEAN,
ancestry_initial,ancestry_initial,,JSON,
pub_author,pub_author,,TEXT,
trait_efos,trait_efos,,JSON,
