original_column_name,column_name,column_description,data_format,value_description
case_id,case_id,,TEXT,
submitter_id,submitter_id,,TEXT,
exp__exposure_id,exp__exposure_id,,TEXT,
diag__diagnosis_id,diag__diagnosis_id,,TEXT,
demo__demographic_id,demo__demographic_id,,TEXT,
diag__created_datetime,diag__created_datetime,,DOUBLE,
diag__icd_10_code,diag__icd_10_code,,TEXT,
diag__masaoka_stage,diag__masaoka_stage,,TEXT,
diag__ajcc_staging_system_edition,diag__ajcc_staging_system_edition,,TEXT,
demo__updated_datetime,demo__updated_datetime,,DOUBLE,
exp__created_datetime,exp__created_datetime,,DOUBLE,
proj__project_id,proj__project_id,,TEXT,
demo__days_to_death,demo__days_to_death,,DOUBLE,
exp__updated_datetime,exp__updated_datetime,,DOUBLE,
diag__ann_arbor_b_symptoms,diag__ann_arbor_b_symptoms,,BOOLEAN,
diag__ajcc_pathologic_m,diag__ajcc_pathologic_m,,TEXT,
diag__ajcc_clinical_t,diag__ajcc_clinical_t,,TEXT,
proj__name,proj__name,,TEXT,
diag__updated_datetime,diag__updated_datetime,,DOUBLE,
diag__ajcc_clinical_n,diag__ajcc_clinical_n,,TEXT,
demo__year_of_birth,demo__year_of_birth,,DOUBLE,
diag__age_at_diagnosis,diag__age_at_diagnosis,,DOUBLE,
diag__ajcc_pathologic_t,diag__ajcc_pathologic_t,,TEXT,
diag__figo_stage,diag__figo_stage,,TEXT,
diag__ann_arbor_extranodal_involvement,diag__ann_arbor_extranodal_involvement,,BOOLEAN,
diag__state,diag__state,,TEXT,
diag__primary_diagnosis,diag__primary_diagnosis,,TEXT,
exp__alcohol_history,exp__alcohol_history,,BOOLEAN,
created_datetime,created_datetime,,DOUBLE,
diag__year_of_diagnosis,diag__year_of_diagnosis,,DOUBLE,
exp__state,exp__state,,TEXT,
diag__tissue_or_organ_of_origin,diag__tissue_or_organ_of_origin,,TEXT,
diag__ajcc_clinical_m,diag__ajcc_clinical_m,,TEXT,
demo__age_at_index,demo__age_at_index,,DOUBLE,
state,state,,TEXT,
demo__created_datetime,demo__created_datetime,,DOUBLE,
demo__race,demo__race,,TEXT,
demo__state,demo__state,,TEXT,
updated_datetime,updated_datetime,,DOUBLE,
diag__secondary_gleason_grade,diag__secondary_gleason_grade,,TEXT,
exp__pack_years_smoked,exp__pack_years_smoked,,DOUBLE,
diag__ajcc_clinical_stage,diag__ajcc_clinical_stage,,TEXT,
demo__vital_status,demo__vital_status,,TEXT,
diag__ajcc_pathologic_n,diag__ajcc_pathologic_n,,TEXT,
disease_type,disease_type,,TEXT,
diag__treat__count,diag__treat__count,,DOUBLE,
exp__cigarettes_per_day,exp__cigarettes_per_day,,DOUBLE,
demo__gender,demo__gender,,TEXT,
demo__ethnicity,demo__ethnicity,,TEXT,
diag__site_of_resection_or_biopsy,diag__site_of_resection_or_biopsy,,TEXT,
diag__synchronous_malignancy,diag__synchronous_malignancy,,BOOLEAN,
diag__primary_gleason_grade,diag__primary_gleason_grade,,TEXT,
diag__prior_malignancy,diag__prior_malignancy,,BOOLEAN,
diag__morphology,diag__morphology,,TEXT,
demo__days_to_birth,demo__days_to_birth,,DOUBLE,
primary_site,primary_site,,TEXT,
diag__igcccg_stage,diag__igcccg_stage,,TEXT,
diag__days_to_diagnosis,diag__days_to_diagnosis,,DOUBLE,
diag__ann_arbor_clinical_stage,diag__ann_arbor_clinical_stage,,TEXT,
diag__days_to_last_follow_up,diag__days_to_last_follow_up,,DOUBLE,
diag__prior_treatment,diag__prior_treatment,,BOOLEAN,
diag__ajcc_pathologic_stage,diag__ajcc_pathologic_stage,,TEXT,
exp__years_smoked,exp__years_smoked,,DOUBLE,
demo__year_of_death,demo__year_of_death,,DOUBLE,
