original_column_name,column_name,column_description,data_format,value_description
case_gdc_id,case_gdc_id,,TEXT,
case_barcode,case_barcode,,TEXT,
aliquot_gdc_id,aliquot_gdc_id,,TEXT,
aliquot_barcode,aliquot_barcode,,TEXT,
file_gdc_id,file_gdc_id,,TEXT,
sample_barcode,sample_barcode,,TEXT,
sample_gdc_id,sample_gdc_id,,TEXT,
start_pos,start_pos,,DOUBLE,
primary_site,primary_site,,TEXT,
chromosome,chromosome,,TEXT,
copy_number,copy_number,,DOUBLE,
major_copy_number,major_copy_number,,DOUBLE,
minor_copy_number,minor_copy_number,,DOUBLE,
project_short_name,project_short_name,,TEXT,
end_pos,end_pos,,DOUBLE,
