original_column_name,column_name,column_description,data_format,value_description
file_gdc_id,file_gdc_id,,TEXT,
SWISSPROT,SWISSPROT,,TEXT,
PUBMED,PUBMED,,TEXT,
Existing_variation,Existing_variation,,TEXT,
dbSNP_RS,dbSNP_RS,,TEXT,
HGNC_ID,HGNC_ID,,TEXT,
UNIPARC,UNIPARC,,TEXT,
UNIPROT_ISOFORM,UNIPROT_ISOFORM,,TEXT,
ENSP,ENSP,,TEXT,
Gene,Gene,,TEXT,
Entrez_Gene_Id,Entrez_Gene_Id,,DOUBLE,
normal_submitter_uuid,normal_submitter_uuid,,TEXT,
tumor_submitter_uuid,tumor_submitter_uuid,,TEXT,
Feature,Feature,,TEXT,
MANE,MANE,,TEXT,
COSMIC,COSMIC,,TEXT,
Matched_Norm_Aliquot_UUID,Matched_Norm_Aliquot_UUID,,TEXT,
TREMBL,TREMBL,,TEXT,
Tumor_Aliquot_UUID,Tumor_Aliquot_UUID,,TEXT,
RefSeq,RefSeq,,TEXT,
case_id,case_id,,TEXT,
Transcript_ID,Transcript_ID,,TEXT,
CCDS,CCDS,,TEXT,
Tumor_Seq_Allele1,Tumor_Seq_Allele1,,TEXT,
gnomAD_non_cancer_SAS_AF,gnomAD_non_cancer_SAS_AF,,DOUBLE,
GDC_FILTER,GDC_FILTER,,TEXT,
mutect2,mutect2,,TEXT,
Variant_Type,Variant_Type,,TEXT,
hotspot,hotspot,,BOOLEAN,
gnomAD_non_cancer_EAS_AF,gnomAD_non_cancer_EAS_AF,,DOUBLE,
HGVSc,HGVSc,,TEXT,
NCBI_Build,NCBI_Build,,TEXT,
APPRIS,APPRIS,,TEXT,
DISTANCE,DISTANCE,,TEXT,
varscan2,varscan2,,TEXT,
gnomAD_AMR_AF,gnomAD_AMR_AF,,DOUBLE,
TRANSCRIPT_STRAND,TRANSCRIPT_STRAND,,TEXT,
MOTIF_NAME,MOTIF_NAME,,TEXT,
sample_barcode_tumor,sample_barcode_tumor,,TEXT,
CANONICAL,CANONICAL,,TEXT,
gnomAD_non_cancer_FIN_AF,gnomAD_non_cancer_FIN_AF,,DOUBLE,
gnomAD_non_cancer_MAX_AF_POPS_adj,gnomAD_non_cancer_MAX_AF_POPS_adj,,TEXT,
Tumor_Aliquot_Barcode,Tumor_Aliquot_Barcode,,TEXT,
SYMBOL_SOURCE,SYMBOL_SOURCE,,TEXT,
RNA_ref_count,RNA_ref_count,,TEXT,
n_alt_count,n_alt_count,,TEXT,
Match_Norm_Seq_Allele2,Match_Norm_Seq_Allele2,,TEXT,
PICK,PICK,,TEXT,
HIGH_INF_POS,HIGH_INF_POS,,TEXT,
ESP_EA_AF,ESP_EA_AF,,DOUBLE,
Sequence_Source,Sequence_Source,,TEXT,
Sequencing_Phase,Sequencing_Phase,,TEXT,
SOMATIC,SOMATIC,,TEXT,
pindel,pindel,,TEXT,
CLIN_SIG,CLIN_SIG,,TEXT,
Tumor_Seq_Allele2,Tumor_Seq_Allele2,,TEXT,
n_ref_count,n_ref_count,,TEXT,
Variant_Classification,Variant_Classification,,TEXT,
IMPACT,IMPACT,,TEXT,
CONTEXT,CONTEXT,,TEXT,
gnomAD_FIN_AF,gnomAD_FIN_AF,,DOUBLE,
BAM_File,BAM_File,,TEXT,
DOMAINS,DOMAINS,,TEXT,
Start_Position,Start_Position,,DOUBLE,
gnomAD_non_cancer_AF,gnomAD_non_cancer_AF,,DOUBLE,
MOTIF_SCORE_CHANGE,MOTIF_SCORE_CHANGE,,TEXT,
One_Consequence,One_Consequence,,TEXT,
Mutation_Status,Mutation_Status,,TEXT,
Consequence,Consequence,,TEXT,
Validation_Status,Validation_Status,,TEXT,
Matched_Norm_Aliquot_Barcode,Matched_Norm_Aliquot_Barcode,,TEXT,
MOTIF_POS,MOTIF_POS,,TEXT,
primary_site,primary_site,,TEXT,
Tumor_Validation_Allele2,Tumor_Validation_Allele2,,TEXT,
RNA_alt_count,RNA_alt_count,,TEXT,
BIOTYPE,BIOTYPE,,TEXT,
Feature_type,Feature_type,,TEXT,
HGVS_OFFSET,HGVS_OFFSET,,TEXT,
case_barcode,case_barcode,,TEXT,
project_short_name,project_short_name,,TEXT,
gnomAD_NFE_AF,gnomAD_NFE_AF,,DOUBLE,
t_depth,t_depth,,DOUBLE,
ESP_AA_AF,ESP_AA_AF,,DOUBLE,
Protein_position,Protein_position,,TEXT,
Verification_Status,Verification_Status,,TEXT,
gnomAD_OTH_AF,gnomAD_OTH_AF,,DOUBLE,
Score,Score,,TEXT,
aliquot_barcode_tumor,aliquot_barcode_tumor,,TEXT,
Exon_Number,Exon_Number,,TEXT,
CDS_position,CDS_position,,TEXT,
ThousG_AFR_AF,ThousG_AFR_AF,,DOUBLE,
Match_Norm_Validation_Allele1,Match_Norm_Validation_Allele1,,TEXT,
End_Position,End_Position,,DOUBLE,
t_ref_count,t_ref_count,,DOUBLE,
MAX_AF,MAX_AF,,DOUBLE,
PolyPhen,PolyPhen,,TEXT,
callers,callers,,TEXT,
Center,Center,,TEXT,
Validation_Method,Validation_Method,,TEXT,
aliquot_barcode_normal,aliquot_barcode_normal,,TEXT,
