original_column_name,column_name,column_description,data_format,value_description
sample_gdc_id,sample_gdc_id,,TEXT,
file_gdc_id,file_gdc_id,,TEXT,
sample_barcode,sample_barcode,,TEXT,
index_file_id,index_file_id,,TEXT,
case_barcode,case_barcode,,TEXT,
case_gdc_id,case_gdc_id,,TEXT,
file_type,file_type,,TEXT,
index_file_name_key,index_file_name_key,,TEXT,
data_type,data_type,,TEXT,
project_short_name_suffix,project_short_name_suffix,,TEXT,
platform,platform,,TEXT,
data_format,data_format,,TEXT,
sample_type_name,sample_type_name,,TEXT,
index_file_size,index_file_size,,DOUBLE,
experimental_strategy,experimental_strategy,,TEXT,
file_name_key,file_name_key,,TEXT,
project_short_name,project_short_name,,TEXT,
access,access,,TEXT,
acl,acl,,TEXT,
data_category,data_category,,TEXT,
program_name,program_name,,TEXT,
file_size,file_size,,DOUBLE,
