original_column_name,column_name,column_description,data_format,value_description
sample_barcode_tumor,sample_barcode_tumor,,TEXT,
DbSNP_RS,DbSNP_RS,,TEXT,
HGNC_OMIM_ID_Supplied_By_NCBI,HGNC_OMIM_ID_Supplied_By_NCBI,,TEXT,
HGNC_UniProt_ID_Supplied_By_UniProt,HGNC_UniProt_ID_Supplied_By_UniProt,,TEXT,
Entrez_Gene_Id,Entrez_Gene_Id,,DOUBLE,
HGNC_RefSeq_Supplied_By_NCBI,HGNC_RefSeq_Supplied_By_NCBI,,TEXT,
HGNC_UCSC_ID_Supplied_By_UCSC,HGNC_UCSC_ID_Supplied_By_UCSC,,TEXT,
aliquot_barcode_tumor,aliquot_barcode_tumor,,TEXT,
HGNC_Ensembl_ID_Supplied_By_Ensembl,HGNC_Ensembl_ID_Supplied_By_Ensembl,,TEXT,
SwissProt_Entry_Id,SwissProt_Entry_Id,,TEXT,
Refseq_Prot_Id,Refseq_Prot_Id,,TEXT,
case_barcode,case_barcode,,TEXT,
aliquot_barcode_normal,aliquot_barcode_normal,,TEXT,
HGNC_CCDS_IDs,HGNC_CCDS_IDs,,TEXT,
HGNC_Accession_Numbers,HGNC_Accession_Numbers,,TEXT,
sample_barcode_normal,sample_barcode_normal,,TEXT,
SwissProt_Acc_Id,SwissProt_Acc_Id,,TEXT,
HGNC_HGNC_ID,HGNC_HGNC_ID,,DOUBLE,
OREGANNO_ID,OREGANNO_ID,,TEXT,
Annotation_Transcript,Annotation_Transcript,,TEXT,
Transcript_Exon,Transcript_Exon,,DOUBLE,
Transcript_Position,Transcript_Position,,TEXT,
Normal_Seq_Allele2,Normal_Seq_Allele2,,TEXT,
HGNC_Locus_Type,HGNC_Locus_Type,,TEXT,
cDNA_Change,cDNA_Change,,TEXT,
NCBI_Build,NCBI_Build,,TEXT,
Secondary_Variant_Classification,Secondary_Variant_Classification,,TEXT,
GENCODE_Transcript_Name,GENCODE_Transcript_Name,,TEXT,
GO_Cellular_Component,GO_Cellular_Component,,TEXT,
GENCODE_Transcript_Type,GENCODE_Transcript_Type,,TEXT,
Gene_Type,Gene_Type,,TEXT,
HGNC_Locus_Group,HGNC_Locus_Group,,TEXT,
Sequencer,Sequencer,,TEXT,
Variant_Classification,Variant_Classification,,TEXT,
Ref_Context,Ref_Context,,TEXT,
Normal_Validation_Allele1,Normal_Validation_Allele1,,TEXT,
Sequence_Source,Sequence_Source,,TEXT,
GC_Content,GC_Content,,DOUBLE,
Genome_Change,Genome_Change,,TEXT,
Variant_Type,Variant_Type,,TEXT,
Mutation_Status,Mutation_Status,,TEXT,
COSMIC_Total_Alterations_In_Gene,COSMIC_Total_Alterations_In_Gene,,DOUBLE,
Tumor_Seq_Allele1,Tumor_Seq_Allele1,,TEXT,
GO_Biological_Process,GO_Biological_Process,,TEXT,
GENCODE_Transcript_Status,GENCODE_Transcript_Status,,TEXT,
project_short_name,project_short_name,,TEXT,
Center,Center,,TEXT,
Reference_Allele,Reference_Allele,,TEXT,
Protein_Change,Protein_Change,,TEXT,
End_Position,End_Position,,DOUBLE,
Validation_Method,Validation_Method,,TEXT,
Tumor_Validation_Allele2,Tumor_Validation_Allele2,,TEXT,
Normal_Seq_Allele1,Normal_Seq_Allele1,,TEXT,
DbSNP_Val_Status,DbSNP_Val_Status,,TEXT,
Normal_Validation_Allele2,Normal_Validation_Allele2,,TEXT,
Tumor_Validation_Allele1,Tumor_Validation_Allele1,,TEXT,
GO_Molecular_Function,GO_Molecular_Function,,TEXT,
Hugo_Symbol,Hugo_Symbol,,TEXT,
DrugBank,DrugBank,,TEXT,
CCLE_ONCOMAP_Total_Mutations_In_Gene,CCLE_ONCOMAP_Total_Mutations_In_Gene,,DOUBLE,
Start_Position,Start_Position,,DOUBLE,
UniProt_AApos,UniProt_AApos,,DOUBLE,
Chromosome,Chromosome,,TEXT,
UniProt_Region,UniProt_Region,,TEXT,
Transcript_Strand,Transcript_Strand,,TEXT,
DNARepairGenes_Role,DNARepairGenes_Role,,TEXT,
Tumor_Seq_Allele2,Tumor_Seq_Allele2,,TEXT,
