original_column_name,column_name,column_description,data_format,value_description
ENSP,ENSP,,TEXT,
SWISSPROT,SWISSPROT,,TEXT,
CCDS,CCDS,,TEXT,
normal_bam_uuid,normal_bam_uuid,,TEXT,
TREMBL,TREMBL,,TEXT,
Entrez_Gene_Id,Entrez_Gene_Id,,DOUBLE,
Feature,Feature,,TEXT,
UNIPARC,UNIPARC,,TEXT,
PUBMED,PUBMED,,TEXT,
Gene,Gene,,TEXT,
Matched_Norm_Sample_UUID,Matched_Norm_Sample_UUID,,TEXT,
case_barcode,case_barcode,,TEXT,
COSMIC,COSMIC,,TEXT,
HGNC_ID,HGNC_ID,,TEXT,
tumor_bam_uuid,tumor_bam_uuid,,TEXT,
fileUUID,fileUUID,,TEXT,
Tumor_Sample_UUID,Tumor_Sample_UUID,,TEXT,
aliquot_barcode_tumor,aliquot_barcode_tumor,,TEXT,
dbSNP_RS,dbSNP_RS,,TEXT,
src_vcf_id,src_vcf_id,,TEXT,
Transcript_ID,Transcript_ID,,TEXT,
case_id,case_id,,TEXT,
sample_barcode_normal,sample_barcode_normal,,TEXT,
aliquot_barcode_normal,aliquot_barcode_normal,,TEXT,
fileName,fileName,,TEXT,
sample_barcode_tumor,sample_barcode_tumor,,TEXT,
Existing_variation,Existing_variation,,TEXT,
RefSeq,RefSeq,,TEXT,
ALLELE_NUM,ALLELE_NUM,,TEXT,
EA_MAF,EA_MAF,,TEXT,
PolyPhen,PolyPhen,,TEXT,
HGVS_OFFSET,HGVS_OFFSET,,DOUBLE,
VARIANT_CLASS,VARIANT_CLASS,,TEXT,
One_Consequence,One_Consequence,,TEXT,
CONTEXT,CONTEXT,,TEXT,
SYMBOL,SYMBOL,,TEXT,
End_Position,End_Position,,DOUBLE,
ExAC_AF_SAS,ExAC_AF_SAS,,TEXT,
ExAC_AF,ExAC_AF,,TEXT,
t_depth,t_depth,,TEXT,
GMAF,GMAF,,DOUBLE,
HGVSp,HGVSp,,TEXT,
TRANSCRIPT_STRAND,TRANSCRIPT_STRAND,,DOUBLE,
AFR_MAF,AFR_MAF,,DOUBLE,
t_alt_count,t_alt_count,,TEXT,
ExAC_AF_AFR,ExAC_AF_AFR,,TEXT,
EAS_MAF,EAS_MAF,,DOUBLE,
AA_MAF,AA_MAF,,TEXT,
Exon_Number,Exon_Number,,TEXT,
GDC_FILTER,GDC_FILTER,,TEXT,
Protein_position,Protein_position,,TEXT,
Start_Position,Start_Position,,DOUBLE,
all_effects,all_effects,,TEXT,
ExAC_AF_FIN,ExAC_AF_FIN,,TEXT,
Center,Center,,TEXT,
Tumor_Validation_Allele2,Tumor_Validation_Allele2,,TEXT,
t_ref_count,t_ref_count,,TEXT,
project_short_name,project_short_name,,TEXT,
Sequencer,Sequencer,,TEXT,
INTRON,INTRON,,TEXT,
EUR_MAF,EUR_MAF,,DOUBLE,
n_depth,n_depth,,TEXT,
HGVSc,HGVSc,,TEXT,
IMPACT,IMPACT,,TEXT,
Allele,Allele,,TEXT,
Tumor_Validation_Allele1,Tumor_Validation_Allele1,,TEXT,
TSL,TSL,,DOUBLE,
DOMAINS,DOMAINS,,TEXT,
CLIN_SIG,CLIN_SIG,,TEXT,
Consequence,Consequence,,TEXT,
CANONICAL,CANONICAL,,TEXT,
SAS_MAF,SAS_MAF,,DOUBLE,
ExAC_AF_Adj,ExAC_AF_Adj,,TEXT,
Mutation_Status,Mutation_Status,,TEXT,
ExAC_AF_AMR,ExAC_AF_AMR,,TEXT,
ExAC_AF_EAS,ExAC_AF_EAS,,TEXT,
ExAC_AF_OTH,ExAC_AF_OTH,,TEXT,
MC3_Overlap,MC3_Overlap,,TEXT,
DISTANCE,DISTANCE,,DOUBLE,
Variant_Classification,Variant_Classification,,TEXT,
dbSNP_Val_Status,dbSNP_Val_Status,,TEXT,
Tumor_Seq_Allele2,Tumor_Seq_Allele2,,TEXT,
Tumor_Seq_Allele1,Tumor_Seq_Allele1,,TEXT,
Reference_Allele,Reference_Allele,,TEXT,
Hugo_Symbol,Hugo_Symbol,,TEXT,
GDC_Validation_Status,GDC_Validation_Status,,TEXT,
FILTER,FILTER,,TEXT,
NCBI_Build,NCBI_Build,,TEXT,
Feature_type,Feature_type,,TEXT,
SIFT,SIFT,,TEXT,
PICK,PICK,,TEXT,
Validation_Method,Validation_Method,,TEXT,
SYMBOL_SOURCE,SYMBOL_SOURCE,,TEXT,
MINIMISED,MINIMISED,,TEXT,
SOMATIC,SOMATIC,,TEXT,
PHENO,PHENO,,TEXT,
Variant_Type,Variant_Type,,TEXT,
CDS_position,CDS_position,,TEXT,
Strand,Strand,,TEXT,
HGVSp_Short,HGVSp_Short,,TEXT,
BIOTYPE,BIOTYPE,,TEXT,
cDNA_position,cDNA_position,,TEXT,
Chromosome,Chromosome,,TEXT,
AMR_MAF,AMR_MAF,,DOUBLE,
ExAC_AF_NFE,ExAC_AF_NFE,,TEXT,
callerName,callerName,,TEXT,
EXON,EXON,,TEXT,
Amino_acids,Amino_acids,,TEXT,
Codons,Codons,,TEXT,
