original_column_name,column_name,column_description,data_format,value_description
evaluation_identifier,evaluation_identifier,,DOUBLE,
pop_evaluation_modified_date,pop_evaluation_modified_date,,DATE,
evaluation_sequence_number,evaluation_sequence_number,,DOUBLE,
timberland_only,timberland_only,,TEXT,
pop_evaluation_created_date,pop_evaluation_created_date,,DATE,
evaluation_group_sequence_number,evaluation_group_sequence_number,,DOUBLE,
estimation_method,estimation_method,,TEXT,
pop_evaluation_created_in_instance,pop_evaluation_created_in_instance,,DOUBLE,
land_only,land_only,,TEXT,
pop_evaluation_created_by,pop_evaluation_created_by,,TEXT,
pop_evaluation_modified_in_instance,pop_evaluation_modified_in_instance,,DOUBLE,
pop_evaluation_modified_by,pop_evaluation_modified_by,,TEXT,
growth_accounting,growth_accounting,,TEXT,
state_code,state_code,,DOUBLE,
region_or_station_code,region_or_station_code,,DOUBLE,
evaluation_description,evaluation_description,,TEXT,
location_name,location_name,,TEXT,
notes,notes,,TEXT,
report_year_name,report_year_name,,TEXT,
end_inventory_year,end_inventory_year,,TEXT,
start_inventory_year,start_inventory_year,,TEXT,
