original_column_name,column_name,column_description,data_format,value_description
pmid,pmid,,TEXT,
id,id,,TEXT,
pmcid,pmcid,,TEXT,
doi,doi,,TEXT,
research_orgs,research_orgs,,JSON,
funder_orgs,funder_orgs,,JSON,
pages,pages,,TEXT,
eisbn,eisbn,,TEXT,
research_org_cities,research_org_cities,,JSON,
publisher,publisher,,JSON,
date_online,date_online,,TEXT,
clinical_trial_ids,clinical_trial_ids,,JSON,
authors,authors,,JSON,
research_org_country_names,research_org_country_names,,JSON,
book_title,book_title,,JSON,
copyright_statement,copyright_statement,,TEXT,
date_normal,date_normal,,DATE,
patent_ids,patent_ids,,JSON,
issue,issue,,TEXT,
altmetrics,altmetrics,,JSON,
mesh_terms,mesh_terms,,JSON,
date_inserted,date_inserted,,DOUBLE,
journal_lists,journal_lists,,JSON,
category_for,category_for,,JSON,
funding_details,funding_details,,JSON,
date,date,,TEXT,
category_hrcs_hc,category_hrcs_hc,,JSON,
funder_countries,funder_countries,,JSON,
category_hrcs_rac,category_hrcs_rac,,JSON,
category_icrp_ct,category_icrp_ct,,JSON,
parent_id,parent_id,,TEXT,
isbn,isbn,,TEXT,
year,year,,DOUBLE,
editors,editors,,JSON,
conference,conference,,JSON,
abstract,abstract,,JSON,
supporting_grant_ids,supporting_grant_ids,,JSON,
type,type,,TEXT,
category_bra,category_bra,,JSON,
citations_count,citations_count,,DOUBLE,
volume,volume,,TEXT,
category_uoa,category_uoa,,JSON,
journal,journal,,JSON,
category_hra,category_hra,,JSON,
date_print,date_print,,TEXT,
acknowledgements,acknowledgements,,JSON,
research_org_state_codes,research_org_state_codes,,JSON,
title,title,,JSON,
citations,citations,,JSON,
research_org_state_names,research_org_state_names,,JSON,
category_icrp_cso,category_icrp_cso,,JSON,
date_imported_gbq,date_imported_gbq,,DOUBLE,
book_series_title,book_series_title,,JSON,
open_access_categories_v2,open_access_categories_v2,,JSON,
categories,categories,,JSON,
proceedings_title,proceedings_title,,JSON,
researcher_ids,researcher_ids,,JSON,
metrics,metrics,,JSON,
subtitles,subtitles,,JSON,
document_type,document_type,,JSON,
arxiv_id,arxiv_id,,TEXT,
open_access_categories,open_access_categories,,JSON,
funding_section,funding_section,,JSON,
research_org_city_names,research_org_city_names,,JSON,
mesh_headings,mesh_headings,,JSON,
category_sdg,category_sdg,,JSON,
concepts,concepts,,JSON,
resulting_publication_doi,resulting_publication_doi,,TEXT,
research_org_countries,research_org_countries,,JSON,
reference_ids,reference_ids,,JSON,
source_id,source_id,,TEXT,
repository_dois,repository_dois,,JSON,
category_rcdc,category_rcdc,,JSON,
