original_column_name,column_name,column_description,data_format,value_description
block_hash,block_hash,,TEXT,
transaction_hash,transaction_hash,,TEXT,
trace_address,trace_address,,TEXT,
transaction_index,transaction_index,,DOUBLE,
block_number,block_number,,DOUBLE,
value,value,,DOUBLE,
to_address,to_address,,TEXT,
trace_type,trace_type,,TEXT,
subtraces,subtraces,,DOUBLE,
output,output,,TEXT,
error,error,,TEXT,
block_timestamp,block_timestamp,,DOUBLE,
call_type,call_type,,TEXT,
gas,gas,,DOUBLE,
reward_type,reward_type,,TEXT,
input,input,,TEXT,
gas_used,gas_used,,DOUBLE,
from_address,from_address,,TEXT,
status,status,,DOUBLE,
