original_column_name,column_name,column_description,data_format,value_description
ID_,ID_,,TEXT,
REV_,REV_,,BIGINT,
EXECUTION_ID_,EXECUTION_ID_,,TEXT,
PROC_INST_ID_,PROC_INST_ID_,,TEXT,
PROC_DEF_ID_,PROC_DEF_ID_,,TEXT,
TASK_DEF_ID_,TASK_DEF_ID_,,TEXT,
SCOPE_ID_,SCOPE_ID_,,TEXT,
SUB_SCOPE_ID_,SUB_SCOPE_ID_,,TEXT,
SCOPE_TYPE_,SCOPE_TYPE_,,TEXT,
SCOPE_DEFINITION_ID_,SCOPE_DEFINITION_ID_,,TEXT,
NAME_,NAME_,,TEXT,
PARENT_TASK_ID_,PARENT_TASK_ID_,,TEXT,
DESCRIPTION_,DESCRIPTION_,,TEXT,
TASK_DEF_KEY_,TASK_DEF_KEY_,,TEXT,
OWNER_,OWNER_,,TEXT,
ASSIGNEE_,ASSIGNEE_,,TEXT,
DELEGATION_,DELEGATION_,,TEXT,
PRIORITY_,PRIORITY_,,BIGINT,
CREATE_TIME_,CREATE_TIME_,,DATETIME,
DUE_DATE_,DUE_DATE_,,DATETIME,
CATEGORY_,CATEGORY_,,TEXT,
SUSPENSION_STATE_,SUSPENSION_STATE_,,BIGINT,
TENANT_ID_,TENANT_ID_,,TEXT,
FORM_KEY_,FORM_KEY_,,TEXT,
CLAIM_TIME_,CLAIM_TIME_,,DATETIME,
IS_COUNT_ENABLED_,IS_COUNT_ENABLED_,,BIGINT,
VAR_COUNT_,VAR_COUNT_,,BIGINT,
ID_LINK_COUNT_,ID_LINK_COUNT_,,BIGINT,
SUB_TASK_COUNT_,SUB_TASK_COUNT_,,BIGINT,
