original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
individual,individual,,TEXT,
territory,territory,,TEXT,
issue_invoice_type,issue_invoice_type,,TEXT,
customer_type,customer_type,,TEXT,
customer_name,customer_name,,TEXT,
make_account_relate_party,make_account_relate_party,,TEXT,
make_account_date,make_account_date,,DATE,
market_category,market_category,,TEXT,
market_distribution_category70,market_distribution_category70,,TEXT,
ar_project_id,ar_project_id,,TEXT,
ar_project_name,ar_project_name,,TEXT,
company_id,company_id,,TEXT,
company_name,company_name,,TEXT,
income_sector_id,income_sector_id,,TEXT,
income_sector_name,income_sector_name,,TEXT,
income_dept_id,income_dept_id,,TEXT,
income_dept_name,income_dept_name,,TEXT,
issue_invoice_apply_code,issue_invoice_apply_code,,TEXT,
overdue_days,overdue_days,,BIGINT,
recycle_date,recycle_date,,DATE,
contract_id,contract_id,,TEXT,
contract_code,contract_code,,TEXT,
contract_name,contract_name,,TEXT,
contract_total_amount,contract_total_amount,,"DECIMAL(16,2)",
project_id,project_id,,TEXT,
project_code,project_code,,TEXT,
project_name,project_name,,TEXT,
project_mgr_id,project_mgr_id,,TEXT,
project_mgr_name,project_mgr_name,,TEXT,
project_mgr_code,project_mgr_code,,TEXT,
voucher_code,voucher_code,,TEXT,
income_confirm_voucher_date,income_confirm_voucher_date,,DATE,
income_confirm_voucher_code,income_confirm_voucher_code,,TEXT,
currency_type,currency_type,,TEXT,
income_amount_original,income_amount_original,,"DECIMAL(16,2)",
tax_amount_original,tax_amount_original,,"DECIMAL(16,2)",
price_tax_total_original,price_tax_total_original,,"DECIMAL(16,2)",
remanent_amount_original,remanent_amount_original,,"DECIMAL(16,2)",
exchange_rate,exchange_rate,,"DECIMAL(10,2)",
income_amount_domestic,income_amount_domestic,,"DECIMAL(16,2)",
tax_amount_domestic,tax_amount_domestic,,"DECIMAL(16,2)",
price_tax_total_domestic,price_tax_total_domestic,,"DECIMAL(16,2)",
remanent_amount_domestic,remanent_amount_domestic,,"DECIMAL(16,2)",
revalue_remanent_amount,revalue_remanent_amount,,"DECIMAL(16,2)",
account_age_date,account_age_date,,DATE,
account_age_voucher_code,account_age_voucher_code,,TEXT,
account_age_months,account_age_months,,BIGINT,
ar_first_respon_id,ar_first_respon_id,,TEXT,
ar_first_respon_name,ar_first_respon_name,,TEXT,
ar_first_respon_code,ar_first_respon_code,,TEXT,
ar_direct_respon_id,ar_direct_respon_id,,TEXT,
ar_direct_respon_name,ar_direct_respon_name,,TEXT,
ar_direct_respon_code,ar_direct_respon_code,,TEXT,
ar_lead_respon_id,ar_lead_respon_id,,TEXT,
ar_lead_respon_name,ar_lead_respon_name,,TEXT,
ar_lead_respon_code,ar_lead_respon_code,,TEXT,
income_dept_mgr_id,income_dept_mgr_id,,TEXT,
income_dept_mgr_name,income_dept_mgr_name,,TEXT,
income_dept_mgr_code,income_dept_mgr_code,,TEXT,
cm_market_category,cm_market_category,,TEXT,
cm_market_segment,cm_market_segment,,TEXT,
cm_risk_level,cm_risk_level,,TEXT,
cm_sale_respon_dept_id,cm_sale_respon_dept_id,,TEXT,
cm_sale_respon_dept_name,cm_sale_respon_dept_name,,TEXT,
cm_sale_respon_leader_id,cm_sale_respon_leader_id,,TEXT,
cm_sale_respon_leader_name,cm_sale_respon_leader_name,,TEXT,
cm_sale_respon_leader_code,cm_sale_respon_leader_code,,TEXT,
cm_supervise_leader_id,cm_supervise_leader_id,,TEXT,
cm_supervise_leader_name,cm_supervise_leader_name,,TEXT,
cm_supervise_leader_code,cm_supervise_leader_code,,TEXT,
cm_liaison_id,cm_liaison_id,,TEXT,
cm_liaison_name,cm_liaison_name,,TEXT,
cm_liaison_code,cm_liaison_code,,TEXT,
cm_real_receive_respon_id,cm_real_receive_respon_id,,TEXT,
cm_real_receive_respon_name,cm_real_receive_respon_name,,TEXT,
cm_real_receive_respon_code,cm_real_receive_respon_code,,TEXT,
cm_plan_receive_date,cm_plan_receive_date,,DATE,
cm_ar_reason_category,cm_ar_reason_category,,TEXT,
cm_ar_reason_content,cm_ar_reason_content,,TEXT,
cm_status,cm_status,,TEXT,
overdue,overdue,,TEXT,
track_receive_progress,track_receive_progress,,TEXT,
send_letter,send_letter,,TEXT,
last_update_by,last_update_by,,TEXT,
last_update_name,last_update_name,,TEXT,
last_update_code,last_update_code,,TEXT,
last_update_time,last_update_time,,DATETIME,
del_flag,del_flag,,TEXT,
enable_flag,enable_flag,,TEXT,
create_by,create_by,,TEXT,
create_name,create_name,,TEXT,
create_time,create_time,,DATETIME,
update_by,update_by,,TEXT,
update_name,update_name,,TEXT,
update_time,update_time,,DATETIME,
version,version,,BIGINT,
rent_user_id,rent_user_id,,TEXT,
org_id,org_id,,TEXT,
org_code,org_code,,TEXT,
