original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
biz_chance_id,biz_chance_id,,TEXT,
chance_code,chance_code,,TEXT,
chance_name,chance_name,,TEXT,
saler_id,saler_id,,TEXT,
real_name,real_name,,TEXT,
user_name,user_name,,TEXT,
assign_user_id,assign_user_id,,TEXT,
assign_user_name,assign_user_name,,TEXT,
assign_real_name,assign_real_name,,TEXT,
assign_date,assign_date,,DATETIME,
process_instance_id,process_instance_id,,TEXT,
result_status,result_status,,TEXT,
remark,remark,,TEXT,
approve_date,approve_date,,DATETIME,
rent_user_id,rent_user_id,,TEXT,
org_id,org_id,,TEXT,
del_flag,del_flag,,TEXT,
update_name,update_name,,TEXT,
update_time,update_time,,DATETIME,
update_by,update_by,,TEXT,
create_name,create_name,,TEXT,
create_time,create_time,,DATETIME,
create_by,create_by,,TEXT,
version,version,,BIGINT,
