original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
name,name,,TEXT,
tax_identify,tax_identify,,TEXT,
register_date,register_date,,DATETIME,
register_capital,register_capital,,"DECIMAL(15,2)",
un_std_currency,un_std_currency,,TEXT,
currency,currency,,TEXT,
list_company,list_company,,TEXT,
list_date,list_date,,DATE,
register_address,register_address,,TEXT,
level,level,,TEXT,
biz_ability,biz_ability,,TEXT,
biz_nature,biz_nature,,TEXT,
biz_scope,biz_scope,,TEXT,
introduce,introduce,,TEXT,
major_biz,major_biz,,TEXT,
core_produce,core_produce,,TEXT,
major_customer,major_customer,,TEXT,
rent_user_id,rent_user_id,,TEXT,
org_id,org_id,,TEXT,
del_flag,del_flag,,TEXT,
update_name,update_name,,TEXT,
update_time,update_time,,DATETIME,
update_by,update_by,,TEXT,
create_name,create_name,,TEXT,
create_time,create_time,,DATETIME,
create_by,create_by,,TEXT,
version,version,,BIGINT,
status,status,,TEXT,
process_instance_id,process_instance_id,,TEXT,
