original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
chance_id,chance_id,,TEXT,
chance_name,chance_name,,TEXT,
customer_id,customer_id,,TEXT,
customer_name,customer_name,,TEXT,
sale_leader,sale_leader,,TEXT,
sale_leader_depart,sale_leader_depart,,TEXT,
chance_creator,chance_creator,,TEXT,
chance_creator_name,chance_creator_name,,TEXT,
chance_creator_depart,chance_creator_depart,,TEXT,
chance_creator_region,chance_creator_region,,TEXT,
chance_create_time,chance_create_time,,DATETIME,
sale_project_code,sale_project_code,,TEXT,
sale_team_depart,sale_team_depart,,TEXT,
chance_expect_money,chance_expect_money,,"DECIMAL(19,2)",
success_rate,success_rate,,TEXT,
sale_stage_id,sale_stage_id,,TEXT,
chance_stage_id,chance_stage_id,,TEXT,
chance_status,chance_status,,TEXT,
sale_project_type,sale_project_type,,TEXT,
sale_project_status,sale_project_status,,TEXT,
market_type,market_type,,TEXT,
un_std_currency,un_std_currency,,TEXT,
currency,currency,,TEXT,
sale_project_expect,sale_project_expect,,"DECIMAL(19,2)",
sale_project_depart,sale_project_depart,,TEXT,
sale_project_duty_man,sale_project_duty_man,,TEXT,
pre_sale_segment,pre_sale_segment,,TEXT,
pre_sale_support_biz_depart,pre_sale_support_biz_depart,,TEXT,
pre_sale_support_man,pre_sale_support_man,,TEXT,
pre_sale_work_day,pre_sale_work_day,,"DECIMAL(19,4)",
pre_sale_total_cost,pre_sale_total_cost,,"DECIMAL(19,2)",
expect_tender_date,expect_tender_date,,DATETIME,
tender_end_date,tender_end_date,,DATETIME,
tender_total_taxed,tender_total_taxed,,"DECIMAL(19,2)",
tender_total_price,tender_total_price,,"DECIMAL(19,2)",
tender_total_profit,tender_total_profit,,"DECIMAL(19,2)",
tender_total_profit_rate,tender_total_profit_rate,,"DECIMAL(19,4)",
implement_business_segment,implement_business_segment,,TEXT,
implement_depart,implement_depart,,TEXT,
bidding_company,bidding_company,,TEXT,
use_seal,use_seal,,TEXT,
sale_create_date,sale_create_date,,DATETIME,
sale_approve_date,sale_approve_date,,DATETIME,
price_create_date,price_create_date,,DATETIME,
price_approve_date,price_approve_date,,DATETIME,
bid_create_date,bid_create_date,,DATETIME,
bid_approval_date,bid_approval_date,,DATETIME,
contract_create_date,contract_create_date,,DATETIME,
contract_approve_date,contract_approve_date,,DATETIME,
contract_money,contract_money,,"DECIMAL(19,2)",
contract_first_party,contract_first_party,,TEXT,
contract_end_user,contract_end_user,,TEXT,
bid_amount_taxed,bid_amount_taxed,,"DECIMAL(19,2)",
bid_amount_tax_included,bid_amount_tax_included,,"DECIMAL(19,2)",
bidder_type,bidder_type,,TEXT,
project_get_way,project_get_way,,TEXT,
tender_profit_rate,tender_profit_rate,,"DECIMAL(19,4)",
project_implement_depart,project_implement_depart,,TEXT,
project_end_time,project_end_time,,TEXT,
stage_plan_amount,stage_plan_amount,,TEXT,
win_bid_date,win_bid_date,,TEXT,
signed_status,signed_status,,TEXT,
cm_assessment_amount,cm_assessment_amount,,TEXT,
cm_market_amount,cm_market_amount,,TEXT,
cm_assessment_exchange_rate,cm_assessment_exchange_rate,,TEXT,
cm_market_type_in_assessment,cm_market_type_in_assessment,,TEXT,
cm_market_type_in_market,cm_market_type_in_market,,TEXT,
cm_region,cm_region,,TEXT,
cm_representative,cm_representative,,TEXT,
cm_salesman_id,cm_salesman_id,,TEXT,
cm_salesman_name,cm_salesman_name,,TEXT,
cm_stats_date,cm_stats_date,,TEXT,
independent_signed_by_division,independent_signed_by_division,,TEXT,
cm_platform_newly_signed_amount,cm_platform_newly_signed_amount,,TEXT,
cm_product_newly_signed_amount,cm_product_newly_signed_amount,,TEXT,
key_customer,key_customer,,TEXT,
key_customer_sub_type,key_customer_sub_type,,TEXT,
cm_stats_year,cm_stats_year,,TEXT,
cm_stats_week,cm_stats_week,,TEXT,
cm_stats_quarter,cm_stats_quarter,,TEXT,
remark,remark,,TEXT,
manual_tips,manual_tips,,TEXT,
data_source,data_source,,TEXT,
data_batch,data_batch,,TEXT,
md5_hex,md5_hex,,TEXT,
manual_intervene_need,manual_intervene_need,,TEXT,
manual_intervene_over,manual_intervene_over,,TEXT,
rent_user_id,rent_user_id,,TEXT,
org_code,org_code,,TEXT,
org_id,org_id,,TEXT,
del_flag,del_flag,,TEXT,
update_name,update_name,,TEXT,
update_time,update_time,,TEXT,
update_by,update_by,,TEXT,
create_name,create_name,,TEXT,
create_time,create_time,,TEXT,
create_by,create_by,,TEXT,
version,version,,TEXT,
