original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
create_by,create_by,,TEXT,
create_time,create_time,,DATETIME,
update_by,update_by,,TEXT,
update_time,update_time,,DATETIME,
org_code,org_code,,TEXT,
customer_id,customer_id,,TEXT,
customer_code,customer_code,,TEXT,
customer_name,customer_name,,TEXT,
user_id,user_id,,TEXT,
real_name,real_name,,TEXT,
reason,reason,,TEXT,
rent_user_id,rent_user_id,,TEXT,
org_id,org_id,,TEXT,
del_flag,del_flag,,TEXT,
update_name,update_name,,TEXT,
create_name,create_name,,TEXT,
version,version,,TEXT,
user_name,user_name,,TEXT,
back_type,back_type,,TEXT,
return_type,return_type,,TEXT,
