original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
region_id,region_id,,TEXT,
region_name,region_name,,TEXT,
market_type,market_type,,TEXT,
region_goal,region_goal,,"DECIMAL(15,2)",
region_implemented,region_implemented,,"DECIMAL(15,2)",
create_time,create_time,,DATETIME,
create_by,create_by,,TEXT,
create_name,create_name,,TEXT,
update_time,update_time,,DATETIME,
update_by,update_by,,TEXT,
update_name,update_name,,TEXT,
year,year,,BIGINT,
week,week,,BIGINT,
type,type,,BIGINT,
representative_id,representative_id,,TEXT,
representative_name,representative_name,,TEXT,
signed,signed,,"DECIMAL(15,2)",
signed_rate,signed_rate,,"DECIMAL(15,2)",
wait_sign,wait_sign,,"DECIMAL(15,2)",
implemented_rate,implemented_rate,,"DECIMAL(15,2)",
personal_id,personal_id,,TEXT,
personal_user_name,personal_user_name,,TEXT,
personal_real_name,personal_real_name,,TEXT,
