original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
agent_goal_id,agent_goal_id,,TEXT,
representative,representative,,TEXT,
region,region,,TEXT,
personal_id,personal_id,,TEXT,
real_name,real_name,,TEXT,
user_name,user_name,,TEXT,
goal_type,goal_type,,TEXT,
goal_name,goal_name,,TEXT,
start_date,start_date,,DATETIME,
end_date,end_date,,DATETIME,
goal_value,goal_value,,TEXT,
complete_value,complete_value,,TEXT,
goal_value_type,goal_value_type,,TEXT,
goal_value_unit,goal_value_unit,,TEXT,
status,status,,TEXT,
completeness,completeness,,TEXT,
goal_description,goal_description,,TEXT,
unfinished_cause,unfinished_cause,,TEXT,
reject_description,reject_description,,TEXT,
rent_user_id,rent_user_id,,TEXT,
org_code,org_code,,TEXT,
org_id,org_id,,TEXT,
del_flag,del_flag,,TEXT,
update_name,update_name,,TEXT,
update_time,update_time,,DATETIME,
update_by,update_by,,TEXT,
create_name,create_name,,TEXT,
create_time,create_time,,DATETIME,
create_by,create_by,,TEXT,
version,version,,BIGINT,
