original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
parent_id,parent_id,,TEXT,
sys_dict_code,sys_dict_code,,TEXT,
sys_dict_name,sys_dict_name,,TEXT,
sys_dict_item_name,sys_dict_item_name,,TEXT,
sys_dict_item_value,sys_dict_item_value,,TEXT,
sys_dict_item_sort,sys_dict_item_sort,,BIGINT,
std_dict_item_name,std_dict_item_name,,TEXT,
std_dict_item_value,std_dict_item_value,,TEXT,
std_dict_item_sort,std_dict_item_sort,,BIGINT,
gr_dict_item_name,gr_dict_item_name,,TEXT,
gr_dict_item_value,gr_dict_item_value,,TEXT,
gr_dict_item_sort,gr_dict_item_sort,,BIGINT,
del_flag,del_flag,,TEXT,
rent_user_id,rent_user_id,,TEXT,
org_id,org_id,,TEXT,
org_code,org_code,,TEXT,
create_by,create_by,,TEXT,
create_name,create_name,,TEXT,
create_time,create_time,,DATETIME,
update_by,update_by,,TEXT,
update_name,update_name,,TEXT,
update_time,update_time,,DATETIME,
version,version,,BIGINT,
