original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
cgform_head_id,cgform_head_id,,TEXT,
db_field_name,db_field_name,,TEXT,
db_field_txt,db_field_txt,,TEXT,
db_field_name_old,db_field_name_old,,TEXT,
db_is_key,db_is_key,,TEXT,
db_is_null,db_is_null,,TEXT,
db_type,db_type,,TEXT,
db_length,db_length,,BIGINT,
db_point_length,db_point_length,,BIGINT,
db_default_val,db_default_val,,TEXT,
dict_field,dict_field,,TEXT,
dict_table,dict_table,,TEXT,
dict_text,dict_text,,TEXT,
field_show_type,field_show_type,,TEXT,
field_href,field_href,,TEXT,
field_length,field_length,,BIGINT,
field_valid_type,field_valid_type,,TEXT,
field_must_input,field_must_input,,TEXT,
field_extend_json,field_extend_json,,TEXT,
field_default_value,field_default_value,,TEXT,
is_query,is_query,,TEXT,
is_show_form,is_show_form,,TEXT,
is_show_list,is_show_list,,TEXT,
is_read_only,is_read_only,,TEXT,
query_mode,query_mode,,TEXT,
main_table,main_table,,TEXT,
main_field,main_field,,TEXT,
order_num,order_num,,BIGINT,
update_by,update_by,,TEXT,
update_time,update_time,,DATETIME,
create_time,create_time,,DATETIME,
create_by,create_by,,TEXT,
converter,converter,,TEXT,
query_def_val,query_def_val,,TEXT,
query_dict_text,query_dict_text,,TEXT,
query_dict_field,query_dict_field,,TEXT,
query_dict_table,query_dict_table,,TEXT,
query_show_type,query_show_type,,TEXT,
query_config_flag,query_config_flag,,TEXT,
query_valid_type,query_valid_type,,TEXT,
query_must_input,query_must_input,,TEXT,
sort_flag,sort_flag,,TEXT,
