original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
titile,titile,,TEXT,
msg_content,msg_content,,TEXT,
start_time,start_time,,DATETIME,
end_time,end_time,,DATETIME,
sender,sender,,TEXT,
priority,priority,,TEXT,
msg_category,msg_category,,TEXT,
msg_type,msg_type,,TEXT,
send_status,send_status,,TEXT,
send_time,send_time,,DATETIME,
cancel_time,cancel_time,,DATETIME,
del_flag,del_flag,,TEXT,
bus_type,bus_type,,TEXT,
bus_id,bus_id,,TEXT,
open_type,open_type,,TEXT,
open_page,open_page,,TEXT,
create_by,create_by,,TEXT,
create_time,create_time,,DATETIME,
update_by,update_by,,TEXT,
update_time,update_time,,DATETIME,
user_ids,user_ids,,TEXT,
msg_abstract,msg_abstract,,TEXT,
business_id,business_id,,TEXT,
business_type,business_type,,BIGINT,
business_flow,business_flow,,TEXT,
business_code,business_code,,TEXT,
business_name,business_name,,TEXT,
business_cont,business_cont,,TEXT,
