original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
org_id_bak,org_id_bak,,TEXT,
parent_id,parent_id,,TEXT,
depart_name,depart_name,,TEXT,
memo,memo,,TEXT,
depart_name_en,depart_name_en,,TEXT,
depart_name_abbr,depart_name_abbr,,TEXT,
depart_order,depart_order,,BIGINT,
description,description,,TEXT,
org_category,org_category,,TEXT,
org_type,org_type,,TEXT,
org_code,org_code,,TEXT,
mobile,mobile,,TEXT,
fax,fax,,TEXT,
address,address,,TEXT,
status,status,,TEXT,
del_flag,del_flag,,TEXT,
create_by,create_by,,TEXT,
create_time,create_time,,DATETIME,
update_by,update_by,,TEXT,
update_time,update_time,,DATETIME,
oa_org_id,oa_org_id,,TEXT,
erp_org_id,erp_org_id,,TEXT,
org_code_group,org_code_group,,TEXT,
