original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
parent_id,parent_id,,TEXT,
name,name,,TEXT,
url,url,,TEXT,
app_name,app_name,,TEXT,
app_url,app_url,,TEXT,
app_icon,app_icon,,TEXT,
component,component,,TEXT,
component_name,component_name,,TEXT,
redirect,redirect,,TEXT,
menu_type,menu_type,,BIGINT,
perms,perms,,TEXT,
perms_type,perms_type,,TEXT,
sort_no,sort_no,,TEXT,
always_show,always_show,,TEXT,
icon,icon,,TEXT,
is_route,is_route,,TEXT,
is_leaf,is_leaf,,TEXT,
keep_alive,keep_alive,,TEXT,
hidden,hidden,,BIGINT,
description,description,,TEXT,
create_by,create_by,,TEXT,
create_time,create_time,,DATETIME,
update_by,update_by,,TEXT,
update_time,update_time,,DATETIME,
del_flag,del_flag,,BIGINT,
rule_flag,rule_flag,,BIGINT,
status,status,,TEXT,
internal_or_external,internal_or_external,,TEXT,
