original_column_name,column_name,column_description,data_format,value_description
id,id,,TEXT,
user_name,user_name,,TEXT,
agent_user_name,agent_user_name,,TEXT,
start_time,start_time,,DATETIME,
end_time,end_time,,DATETIME,
status,status,,TEXT,
create_name,create_name,,TEXT,
create_by,create_by,,TEXT,
create_time,create_time,,DATETIME,
update_name,update_name,,TEXT,
update_by,update_by,,TEXT,
update_time,update_time,,DATETIME,
sys_org_code,sys_org_code,,TEXT,
sys_company_code,sys_company_code,,TEXT,
