original_column_name,column_name,column_description,data_format,value_description
source_uuid,source_uuid,,TEXT,
customer_code,customer_code,,TEXT,
customer_name,customer_name,,TEXT,
region,region,,TEXT,
customer_level,customer_level,,TEXT,
list_company,list_company,,TEXT,
market_type_s,market_type_s,,TEXT,
sea_customer,sea_customer,,TEXT,
market_type,market_type,,TEXT,
unit_type_s,unit_type_s,,TEXT,
unit_type,unit_type,,TEXT,
industry_s,industry_s,,TEXT,
industry,industry,,TEXT,
biz_nature,biz_nature,,TEXT,
source_from,source_from,,TEXT,
tax_identify,tax_identify,,TEXT,
short_name,short_name,,TEXT,
country,country,,TEXT,
province,province,,TEXT,
city,city,,TEXT,
register_area,register_area,,TEXT,
register_address,register_address,,TEXT,
address,address,,TEXT,
work_telephone,work_telephone,,TEXT,
fax,fax,,TEXT,
company_type_s,company_type_s,,TEXT,
company_type,company_type,,TEXT,
juridical_person,juridical_person,,TEXT,
currency_s,currency_s,,TEXT,
currency,currency,,TEXT,
register_capital,register_capital,,"DECIMAL(15,2)",
register_date,register_date,,DATETIME,
biz_scope,biz_scope,,TEXT,
biz_term,biz_term,,DATE,
people_number,people_number,,TEXT,
status,status,,TEXT,
status_s,status_s,,TEXT,
group_code,group_code,,TEXT,
pinyin,pinyin,,TEXT,
state,state,,TEXT,
tax_invoice_name,tax_invoice_name,,TEXT,
i_group,i_group,,TEXT,
i_group2,i_group2,,TEXT,
associated_hk,associated_hk,,TEXT,
associated_iso,associated_iso,,TEXT,
special_cleanup,special_cleanup,,TEXT,
plate,plate,,TEXT,
business_partner,business_partner,,TEXT,
create_by,create_by,,TEXT,
update_by,update_by,,TEXT,
sb_uuid,sb_uuid,,TEXT,
create_time_s,create_time_s,,DATETIME,
modify_time_s,modify_time_s,,DATETIME,
source_system,source_system,,TEXT,
creator_s,creator_s,,TEXT,
modifier_s,modifier_s,,TEXT,
