original_column_name,column_name,column_description,data_format,value_description
source_uuid,source_uuid,,TEXT,
code,code,,TEXT,
name,name,,TEXT,
biz_type_s,biz_type_s,,TEXT,
biz_type,biz_type,,TEXT,
status,status,,TEXT,
customer_code,customer_code,,TEXT,
biz_department,biz_department,,TEXT,
project_department,project_department,,TEXT,
chance_market_type_s,chance_market_type_s,,TEXT,
chance_market_type,chance_market_type,,TEXT,
chance_market_type2,chance_market_type2,,TEXT,
duty_man_id,duty_man_id,,TEXT,
duty_man_code,duty_man_code,,TEXT,
org_code,org_code,,TEXT,
expect_tender_date,expect_tender_date,,DATE,
win_bid_date,win_bid_date,,DATETIME,
winbid_amount_yuan,winbid_amount_yuan,,"DECIMAL(15,2)",
winbid_at_yuan,winbid_at_yuan,,"DECIMAL(15,2)",
create_by,create_by,,TEXT,
update_by,update_by,,TEXT,
sb_uuid,sb_uuid,,TEXT,
create_time_s,create_time_s,,DATETIME,
modify_time_s,modify_time_s,,DATETIME,
source_system,source_system,,TEXT,
creator_s,creator_s,,TEXT,
modifier_s,modifier_s,,TEXT,
