original_column_name,column_name,column_description,data_format,value_description
source_uuid,source_uuid,,TEXT,
source_system,source_system,,TEXT,
uid,uid,,BIGINT,
id,id,,TEXT,
product_code,product_code,,TEXT,
version,version,,TEXT,
market_time,market_time,,DATETIME,
delisting_time,delisting_time,,DATETIME,
overview,overview,,TEXT,
creator,creator,,TEXT,
creator_employee_number,creator_employee_number,,TEXT,
create_time,create_time,,DATETIME,
updator,updator,,TEXT,
updator_employee_number,updator_employee_number,,TEXT,
update_time,update_time,,DATETIME,
