original_column_name,column_name,column_description,data_format,value_description
id,id,,BIGINT,
uuid,uuid,,TEXT,
income_type,income_type,,BIGINT,
contract_code,contract_code,,TEXT,
product_code,product_code,,TEXT,
product_name,product_name,,TEXT,
content,content,,TEXT,
model,model,,TEXT,
amount,amount,,DOUBLE,
unit,unit,,TEXT,
tax_rate,tax_rate,,DOUBLE,
univalent,univalent,,DOUBLE,
univalent1,univalent1,,DOUBLE,
total,total,,DOUBLE,
total1,total1,,DOUBLE,
tax,tax,,DOUBLE,
accounting_date,accounting_date,,DATE,
accounting_code,accounting_code,,TEXT,
exfidoc_number,exfidoc_number,,TEXT,
posting_date,posting_date,,DATE,
remark,remark,,TEXT,
del,del,,BIGINT,
creator,creator,,TEXT,
create_time,create_time,,DATETIME,
updator,updator,,TEXT,
update_time,update_time,,DATETIME,
