original_column_name,column_name,column_description,data_format,value_description
id,id,,BIGINT,
uuid,uuid,,TEXT,
product_info_uuid,product_info_uuid,,TEXT,
pay_back_time,pay_back_time,,DATE,
tax_tate,tax_tate,,DOUBLE,
pay_back_amount,pay_back_amount,,DOUBLE,
partial_income,partial_income,,DOUBLE,
payment_receipt_number,payment_receipt_number,,TEXT,
income_receipt_number,income_receipt_number,,TEXT,
cost,cost,,DOUBLE,
cost_number,cost_number,,TEXT,
profit,profit,,DOUBLE,
award_amount,award_amount,,DOUBLE,
status,status,,BIGINT,
sort,sort,,BIGINT,
remark,remark,,TEXT,
del,del,,BIGINT,
creator,creator,,BIGINT,
create_time,create_time,,DATETIME,
updator,updator,,BIGINT,
update_time,update_time,,DATETIME,
