original_column_name,column_name,column_description,data_format,value_description
id,id,,BIGINT,
uuid,uuid,,TEXT,
project_name,project_name,,TEXT,
project_code,project_code,,TEXT,
project_type,project_type,,BIGINT,
research_type,research_type,,BIGINT,
belong_plate,belong_plate,,BIGINT,
belong_plate_name,belong_plate_name,,TEXT,
belong_dept_name,belong_dept_name,,TEXT,
belong_dept_id,belong_dept_id,,BIGINT,
project_manager_id,project_manager_id,,BIGINT,
project_manager_name,project_manager_name,,TEXT,
phone_no,phone_no,,TEXT,
email,email,,TEXT,
multi_dept_cooperation,multi_dept_cooperation,,BIGINT,
outsourcing_unit,outsourcing_unit,,TEXT,
outsourcing_unit_charger,outsourcing_unit_charger,,TEXT,
plan_start_time,plan_start_time,,DATE,
plan_finish_time,plan_finish_time,,DATE,
plan_workload,plan_workload,,BIGINT,
budget,budget,,DOUBLE,
financial_code,financial_code,,TEXT,
support_financial_code,support_financial_code,,TEXT,
accept_evaluation_report_code,accept_evaluation_report_code,,TEXT,
label,label,,BIGINT,
research_contents,research_contents,,TEXT,
research_objectives,research_objectives,,TEXT,
expected_results,expected_results,,TEXT,
technical_index,technical_index,,TEXT,
application_effect,application_effect,,TEXT,
business_index,business_index,,TEXT,
wf_permission,wf_permission,,BIGINT,
status,status,,BIGINT,
sort,sort,,BIGINT,
remark,remark,,TEXT,
del,del,,BIGINT,
creator,creator,,BIGINT,
create_time,create_time,,DATETIME,
updator,updator,,BIGINT,
update_time,update_time,,DATETIME,
project_manager_list,project_manager_list,,TEXT,
is_threenew,is_threenew,,BIGINT,
threenew_content,threenew_content,,TEXT,
process_threenew_content,process_threenew_content,,TEXT,
super_matching_amount,super_matching_amount,,BIGINT,
process_ing,process_ing,,BIGINT,
warning_status,warning_status,,BIGINT,
warning_msg,warning_msg,,TEXT,
budget_warning_status,budget_warning_status,,BIGINT,
process_warning_status,process_warning_status,,BIGINT,
three_new_explain,three_new_explain,,TEXT,
is_stock,is_stock,,BIGINT,
project_id,project_id,,BIGINT,
abnormal_close_time,abnormal_close_time,,DATE,
closure_date,closure_date,,DATE,
suspend_time,suspend_time,,DATE,
is_checked,is_checked,,BIGINT,
last_checker,last_checker,,BIGINT,
is_accepted,is_accepted,,BIGINT,
accepter,accepter,,BIGINT,
accept_time,accept_time,,DATE,
need_weekly,need_weekly,,BIGINT,
budget_version,budget_version,,BIGINT,
company_transformation,company_transformation,,BIGINT,
group_transformation,group_transformation,,BIGINT,
uid,uid,,TEXT,
is_offline_approval,is_offline_approval,,BIGINT,
approval_date,approval_date,,DATE,
rd,rd,,BIGINT,
activity_type,activity_type,,TEXT,
project_source,project_source,,TEXT,
specialty_type,specialty_type,,TEXT,
project_modality,project_modality,,TEXT,
project_current_results,project_current_results,,TEXT,
project_economic_objective,project_economic_objective,,TEXT,
matching,matching,,BIGINT,
matching_main_project_code,matching_main_project_code,,TEXT,
opening_argument,opening_argument,,BIGINT,
is_main_project,is_main_project,,BIGINT,
main_project_code,main_project_code,,TEXT,
is_opening_argument_project,is_opening_argument_project,,BIGINT,
opening_argument_project_code,opening_argument_project_code,,TEXT,
recommender_id,recommender_id,,BIGINT,
recommender_name,recommender_name,,TEXT,
matching_main_project_type,matching_main_project_type,,TEXT,
task_issuer,task_issuer,,BIGINT,
is_bear,is_bear,,BIGINT,
is_main_project_cost,is_main_project_cost,,BIGINT,
is_internal_settlement,is_internal_settlement,,BIGINT,
master_project_code,master_project_code,,TEXT,
master_budget,master_budget,,DOUBLE,
plan_uuid,plan_uuid,,TEXT,
review_type,review_type,,TEXT,
plan_review_time,plan_review_time,,DATE,
work_item_id,work_item_id,,TEXT,
erp_code,erp_code,,TEXT,
wbs_code,wbs_code,,TEXT,
