original_column_name,column_name,column_description,data_format,value_description
id,id,,BIGINT,
uuid,uuid,,TEXT,
template_uuid,template_uuid,,TEXT,
business_uuid,business_uuid,,TEXT,
instance_uuid,instance_uuid,,TEXT,
name,name,,TEXT,
description,description,,TEXT,
url,url,,TEXT,
meta,meta,,BIGINT,
sort,sort,,BIGINT,
remark,remark,,TEXT,
del,del,,BIGINT,
creator,creator,,BIGINT,
create_time,create_time,,DATETIME,
updator,updator,,BIGINT,
update_time,update_time,,DATETIME,
status,status,,BIGINT,
owner_id,owner_id,,BIGINT,
type,type,,BIGINT,
