original_column_name,column_name,column_description,data_format,value_description
id,id,,BIGINT,
uuid,uuid,,TEXT,
project_info_uuid,project_info_uuid,,TEXT,
schedule_title,schedule_title,,TEXT,
schedule_type,schedule_type,,BIGINT,
start_time,start_time,,DATETIME,
end_time,end_time,,DATETIME,
is_all_day,is_all_day,,BIGINT,
remind_type,remind_type,,BIGINT,
source_type,source_type,,TEXT,
mark_name,mark_name,,TEXT,
details,details,,TEXT,
creator,creator,,BIGINT,
create_time,create_time,,DATETIME,
updator,updator,,BIGINT,
update_time,update_time,,DATETIME,
sort,sort,,BIGINT,
status,status,,BIGINT,
remart,remart,,TEXT,
del,del,,BIGINT,
