original_column_name,column_name,column_description,data_format,value_description
id,id,,BIGINT,
project_info_uuid,project_info_uuid,,TEXT,
uuid,uuid,,TEXT,
parent_uuid,parent_uuid,,TEXT,
stage_template_id,stage_template_id,,TEXT,
stage_delivery_id,stage_delivery_id,,BIGINT,
stage_delivery_uuid,stage_delivery_uuid,,TEXT,
name,name,,TEXT,
start_time,start_time,,DATETIME,
finish_time,finish_time,,DATETIME,
research_contents,research_contents,,TEXT,
stage_type,stage_type,,BIGINT,
model_type,model_type,,BIGINT,
tailor_instructions,tailor_instructions,,TEXT,
tailor_result,tailor_result,,TEXT,
explains,explains,,TEXT,
delivery_upload,delivery_upload,,TEXT,
outline_no,outline_no,,TEXT,
level_no,level_no,,BIGINT,
sort_no,sort_no,,BIGINT,
extend2,extend2,,TEXT,
status,status,,BIGINT,
status2,status2,,BIGINT,
execute_time,execute_time,,DATETIME,
sort,sort,,BIGINT,
remark,remark,,TEXT,
del,del,,BIGINT,
creator,creator,,BIGINT,
create_time,create_time,,DATETIME,
updator,updator,,BIGINT,
update_time,update_time,,DATETIME,
stage_status,stage_status,,BIGINT,
