original_column_name,column_name,column_description,data_format,value_description
id,id,,BIGINT,
uuid,uuid,,TEXT,
contr_incm_conf_id,contr_incm_conf_id,,BIGINT,
contr_incm_conf_apply_id,contr_incm_conf_apply_id,,BIGINT,
contr_incm_conf_apply_code,contr_incm_conf_apply_code,,TEXT,
contr_id,contr_id,,TEXT,
contr_code,contr_code,,TEXT,
contr_name,contr_name,,TEXT,
bid_amt,bid_amt,,DOUBLE,
mat_no,mat_no,,TEXT,
mat_name,mat_name,,TEXT,
tax_rate,tax_rate,,DOUBLE,
vchr_no,vchr_no,,TEXT,
conf_date,conf_date,,DATE,
incm_amt,incm_amt,,DOUBLE,
incm_crncy_cd,incm_crncy_cd,,TEXT,
incm_lcrncy_amt,incm_lcrncy_amt,,DOUBLE,
contr_incm_conf_rvrs_type_cd,contr_incm_conf_rvrs_type_cd,,TEXT,
rvrs_contr_incm_conf_apply_id,rvrs_contr_incm_conf_apply_id,,BIGINT,
rvrs_contr_incm_conf_apply_code,rvrs_contr_incm_conf_apply_code,,TEXT,
proj_code,proj_code,,TEXT,
group_proj_code,group_proj_code,,TEXT,
proj_name,proj_name,,TEXT,
last_mod_id,last_mod_id,,BIGINT,
last_mod_time,last_mod_time,,DATETIME,
sort,sort,,BIGINT,
remark,remark,,TEXT,
status,status,,BIGINT,
is_del,is_del,,BIGINT,
del,del,,BIGINT,
creator,creator,,BIGINT,
create_time,create_time,,DATETIME,
updator,updator,,BIGINT,
update_time,update_time,,DATETIME,
