original_column_name,column_name,column_description,data_format,value_description
id,id,,BIGINT,
uuid,uuid,,TEXT,
incm_contr_stcm_incm_id,incm_contr_stcm_incm_id,,BIGINT,
incm_contr_id,incm_contr_id,,TEXT,
incm_contr_with_stcm_id,incm_contr_with_stcm_id,,BIGINT,
stcm_id,stcm_id,,TEXT,
stcm_code,stcm_code,,TEXT,
stcm_name,stcm_name,,TEXT,
stcm_incm_type_cd,stcm_incm_type_cd,,BIGINT,
incm_type,incm_type,,DOUBLE,
import_data_year,import_data_year,,BIGINT,
num,num,,BIGINT,
tax_rate,tax_rate,,DOUBLE,
incl_tax_unit_price,incl_tax_unit_price,,DOUBLE,
incl_tax_total_price,incl_tax_total_price,,DOUBLE,
tax_exclv_unit_price,tax_exclv_unit_price,,DOUBLE,
tax_exclv_total_price,tax_exclv_total_price,,DOUBLE,
incm_total_price,incm_total_price,,DOUBLE,
incm_belong_plate,incm_belong_plate,,BIGINT,
incm_belong_plate_code,incm_belong_plate_code,,TEXT,
incm_belong_plate_name,incm_belong_plate_name,,TEXT,
tax,tax,,DOUBLE,
is_conf,is_conf,,BIGINT,
last_mod_id,last_mod_id,,BIGINT,
last_mod_time,last_mod_time,,DATETIME,
sort,sort,,BIGINT,
remark,remark,,TEXT,
status,status,,BIGINT,
is_del,is_del,,BIGINT,
del,del,,BIGINT,
creator,creator,,BIGINT,
create_time,create_time,,DATETIME,
updator,updator,,BIGINT,
update_time,update_time,,DATETIME,
project_code,project_code,,TEXT,
project_name,project_name,,TEXT,
