original_column_name,column_name,column_description,data_format,value_description
prod_total_id,prod_total_id,,integer,
prod_id,prod_id,,integer,
prod_src_id,prod_src_id,,text,
prod_subcategory_id,prod_subcategory_id,,integer,
prod_name,prod_name,,text,
prod_category_desc,prod_category_desc,,text,
prod_category,prod_category,,text,
prod_valid,prod_valid,,text,
prod_eff_from,prod_eff_from,,text,
supplier_id,supplier_id,,integer,
prod_subcategory_desc,prod_subcategory_desc,,text,
prod_category_id,prod_category_id,,integer,
prod_weight_class,prod_weight_class,,integer,
prod_total,prod_total,,text,
prod_status,prod_status,,text,
prod_list_price,prod_list_price,,real,
prod_pack_size,prod_pack_size,,text,
prod_subcategory,prod_subcategory,,text,
prod_eff_to,prod_eff_to,,text,
prod_unit_of_measure,prod_unit_of_measure,,text,
prod_min_price,prod_min_price,,real,
prod_desc,prod_desc,,text,
