original_column_name,column_name,column_description,data_format,value_description
DSID,DSID,,text,
OIL_COMMODITY_VOL_MONTH_ID,OIL_COMMODITY_VOL_MONTH_ID,,text,
ORG_MDM_CODE,ORG_MDM_CODE,,text,
DATA_GROUP,DATA_GROUP,,text,
ORG_ID,ORG_ID,,text,
ORG_NAME,ORG_NAME,,text,
YEAR,YEAR,,text,
MONTH,MONTH,,text,
ENERGY_SORT,ENERGY_SORT,,text,
MONTH_MERCHANDISE_VOLUME,MONTH_MERCHANDISE_VOLUME,,integer,
REMARKS,REMARKS,,text,
CREATE_APP_ID,CREATE_APP_ID,,text,
CREATE_USER_ID,CREATE_USER_ID,,text,
CREATE_DATE,CREATE_DATE,,date,
UPDATE_USER_ID,UPDATE_USER_ID,,text,
UPDATE_DATE,UPDATE_DATE,,date,
CHECK_DATE,CHECK_DATE,,date,
CHECK_USER_ID,CHECK_USER_ID,,text,
DATA_REGION,DATA_REGION,,text,
BSFLAG,BSFLAG,,integer,
SOURCE_CREATE_DATE,SOURCE_CREATE_DATE,,date,
