original_column_name,column_name,column_description,data_format,value_description
org_id,org_id,,text,
plan_id,plan_id,,text,
update_date,update_date,,datetime,
verify_date,verify_date,,datetime,
create_date,create_date,,datetime,
comments,comments,,text,
update_user,update_user,,text,
verify_user,verify_user,,text,
create_user,create_user,,text,
plan_drilling_endm,plan_drilling_endm,,real,
plan_drilling_upm,plan_drilling_upm,,real,
plan_progressm,plan_progressm,,real,
plan_arrange_rigm,plan_arrange_rigm,,real,
partner_type,partner_type,,text,
plan_time,plan_time,,text,
org_name,org_name,,text,
