original_column_name,column_name,column_description,data_format,value_description
ID_COUNTRY,ID_COUNTRY,,text,
ID_COUNTY,ID_COUNTY,,text,
ID_ZIP,ID_ZIP,,text,
ID_RSSD,ID_RSSD,,integer,
ID_RSSD_PARENT,ID_RSSD_PARENT,,integer,
ID_STATE,ID_STATE,,text,
CATEGORY,CATEGORY,,text,
IS_ACTIVE,IS_ACTIVE,,text,
ZIP_CODE,ZIP_CODE,,text,
END_DATE,END_DATE,,date,
STATE_ABBREVIATION,STATE_ABBREVIATION,,text,
CITY,CITY,,text,
ADDRESS_LINE2,ADDRESS_LINE2,,text,
NAME_PARENT,NAME_PARENT,,text,
ADDRESS,ADDRESS,,text,
BRANCH_NAME,BRANCH_NAME,,text,
START_DATE,START_DATE,,date,
