original_column_name,column_name,column_description,data_format,value_description
ID_RSSD_PARENT,ID_RSSD_PARENT,,DOUBLE,
ID_RSSD_OFFSPRING,ID_RSSD_OFFSPRING,,DOUBLE,
CATEGORY_PARENT,CATEGORY_PARENT,,TEXT,
CATEGORY_OFFSPRING,CATEGORY_OFFSPRING,,TEXT,
NAME_OFFSPRING,NAME_OFFSPRING,,TEXT,
RELATIONSHIP_TERMINATED,RELATIONSHIP_TERMINATED,,BOOLEAN,
PERCENT_CONTROL_OF_OFFSPRING,PERCENT_CONTROL_OF_OFFSPRING,,DOUBLE,
ACTIVE_OFFSPRING,ACTIVE_OFFSPRING,,BOOLEAN,
PARENT_CONTROLS_OFFSPRING,PARENT_CONTROLS_OFFSPRING,,BOOLEAN,
ACTIVE_PARENT,ACTIVE_PARENT,,BOOLEAN,
NAME_PARENT,NAME_PARENT,,TEXT,
RELATIONSHIP_LEVEL,RELATIONSHIP_LEVEL,,TEXT,
