original_column_name,column_name,column_description,data_format,value_description
OPENFIGI_FIGI_ID,OPENFIGI_FIGI_ID,,JSON,
OPENFIGI_COMPOSITE_ID,OPENFIGI_COMPOSITE_ID,,JSON,
OPENFIGI_SHARE_CLASS_ID,OPENFIGI_SHARE_CLASS_ID,,JSON,
TOP_LEVEL_OPENFIGI_ID,TOP_LEVEL_OPENFIGI_ID,,TEXT,
PRIMARY_TICKER,PRIMARY_TICKER,,TEXT,
EXCHANGE_CODES,EXCHANGE_CODES,,JSON,
ASSET_CLASS,ASSET_CLASS,,TEXT,
SECURITY_TYPE,SECURITY_TYPE,,JSON,
TOP_LEVEL_OPENFIGI_ID_TYPE,TOP_LEVEL_OPENFIGI_ID_TYPE,,TEXT,
SECURITY_SUBTYPE,SECURITY_SUBTYPE,,JSON,
SECURITY_NAME,SECURITY_NAME,,TEXT,
GLOBAL_TICKERS,GLOBAL_TICKERS,,JSON,
