original_column_name,column_name,column_description,data_format,value_description
Id,Id,,integer,
Title,Title,,text,
LeaderboardPercentage,LeaderboardPercentage,,integer,
TeamMergerDeadlineDate,TeamMergerDeadlineDate,,integer,
NumScoredSubmissions,NumScoredSubmissions,,integer,
MaxTeamSize,MaxTeamSize,,integer,
Slug,Slug,,text,
HasLeaderboard,HasLeaderboard,,text,
ScoreTruncationNumDecimals,ScoreTruncationNumDecimals,,integer,
EvaluationAlgorithmName,EvaluationAlgorithmName,,text,
EnabledDate,EnabledDate,,integer,
MaxDailySubmissions,MaxDailySubmissions,,integer,
ModelSubmissionDeadlineDate,ModelSubmissionDeadlineDate,,integer,
FinalLeaderboardHasBeenVerified,FinalLeaderboardHasBeenVerified,,text,
DeadlineDate,DeadlineDate,,integer,
HasKernels,HasKernels,,text,
EvaluationAlgorithmDescription,EvaluationAlgorithmDescription,,text,
HostName,HostName,,text,
RewardQuantity,RewardQuantity,,real,
ValidationSetValue,ValidationSetValue,,text,
EvaluationAlgorithmIsMax,EvaluationAlgorithmIsMax,,text,
CompetitionTypeId,CompetitionTypeId,,integer,
ValidationSetName,ValidationSetName,,text,
UserRankMultiplier,UserRankMultiplier,,real,
ForumId,ForumId,,integer,
OnlyAllowKernelSubmissions,OnlyAllowKernelSubmissions,,text,
Subtitle,Subtitle,,text,
RewardType,RewardType,,text,
BanTeamMergers,BanTeamMergers,,text,
EnableTeamModels,EnableTeamModels,,text,
EnableSubmissionModelAttachments,EnableSubmissionModelAttachments,,text,
EnableSubmissionModelHashes,EnableSubmissionModelHashes,,text,
NumPrizes,NumPrizes,,integer,
OrganizationId,OrganizationId,,real,
EvaluationAlgorithmAbbreviation,EvaluationAlgorithmAbbreviation,,text,
TeamModelDeadlineDate,TeamModelDeadlineDate,,integer,
ProhibitNewEntrantsDeadlineDate,ProhibitNewEntrantsDeadlineDate,,integer,
HostSegmentTitle,HostSegmentTitle,,text,
TotalTeams,TotalTeams,,integer,
TotalSubmissions,TotalSubmissions,,integer,
CanQualifyTiers,CanQualifyTiers,,text,
TotalCompetitors,TotalCompetitors,,integer,
