original_column_name,column_name,column_description,data_format,value_description
Id,Id,,DOUBLE,
CurrentDatasourceVersionId,CurrentDatasourceVersionId,,DOUBLE,
CurrentDatasetVersionId,CurrentDatasetVersionId,,DOUBLE,
LastActivityDate,LastActivityDate,,DATE,
OwnerUserId,OwnerUserId,,DOUBLE,
Type,Type,,TEXT,
TotalDownloads,TotalDownloads,,DOUBLE,
TotalVotes,TotalVotes,,DOUBLE,
TotalKernels,TotalKernels,,DOUBLE,
TotalViews,TotalViews,,DOUBLE,
ForumId,ForumId,,DOUBLE,
OwnerOrganizationId,OwnerOrganizationId,,DOUBLE,
CreatorUserId,CreatorUserId,,DOUBLE,
CreationDate,CreationDate,,DOUBLE,
