original_column_name,column_name,column_description,data_format,value_description
Id,Id,,DOUBLE,
ForumTopicId,ForumTopicId,,DOUBLE,
MedalAwardDate,MedalAwardDate,,DATE,
MadePublicDate,MadePublicDate,,DATE,
FirstKernelVersionId,FirstKernelVersionId,,DOUBLE,
TotalComments,TotalComments,,DOUBLE,
EvaluationDate,EvaluationDate,,DATE,
ForkParentKernelVersionId,ForkParentKernelVersionId,,DOUBLE,
IsProjectLanguageTemplate,IsProjectLanguageTemplate,,BOOLEAN,
Medal,Medal,,DOUBLE,
CreationDate,CreationDate,,DOUBLE,
TotalVotes,TotalVotes,,DOUBLE,
TotalViews,TotalViews,,DOUBLE,
CurrentKernelVersionId,CurrentKernelVersionId,,DOUBLE,
CurrentUrlSlug,CurrentUrlSlug,,TEXT,
AuthorUserId,AuthorUserId,,DOUBLE,
