original_column_name,column_name,column_description,data_format,value_description
motor_carrier_identification_number,motor_carrier_identification_number,,TEXT,
vin_character_6,vin_character_6,,TEXT,
vehicle_number,vehicle_number,,DOUBLE,
ptrlr1vin,ptrlr1vin,,TEXT,
vin_character_12,vin_character_12,,TEXT,
vin_character_3,vin_character_3,,TEXT,
vin_character_1,vin_character_1,,TEXT,
vin_character_2,vin_character_2,,TEXT,
vin_character_5,vin_character_5,,TEXT,
ptrlr2vin,ptrlr2vin,,TEXT,
vin_character_11,vin_character_11,,TEXT,
vehicle_model,vehicle_model,,DOUBLE,
mcid_identification_number,mcid_identification_number,,TEXT,
vehicle_identification_number_vin,vehicle_identification_number_vin,,TEXT,
vin_character_4,vin_character_4,,TEXT,
vin_character_9,vin_character_9,,TEXT,
ptrlr3vin,ptrlr3vin,,TEXT,
make_model_combined,make_model_combined,,TEXT,
consecutive_number,consecutive_number,,DOUBLE,
vin_character_8,vin_character_8,,TEXT,
vin_character_10,vin_character_10,,TEXT,
vin_character_7,vin_character_7,,TEXT,
initial_contact_point_name,initial_contact_point_name,,TEXT,
vehicle_removal,vehicle_removal,,DOUBLE,
related_factors_vehicle_level2,related_factors_vehicle_level2,,DOUBLE,
fire_occurrence_name,fire_occurrence_name,,TEXT,
related_factors_vehicle_level2_name,related_factors_vehicle_level2_name,,TEXT,
registration_state,registration_state,,DOUBLE,
underride_override,underride_override,,DOUBLE,
state_name,state_name,,TEXT,
special_use_name,special_use_name,,TEXT,
make_model_combined_name,make_model_combined_name,,TEXT,
most_harmful_event_name,most_harmful_event_name,,TEXT,
hour_of_crash,hour_of_crash,,DOUBLE,
body_type,body_type,,DOUBLE,
cargo_body_type_name,cargo_body_type_name,,TEXT,
vehicle_model_year,vehicle_model_year,,DOUBLE,
vehicle_trailing_name,vehicle_trailing_name,,TEXT,
mcid_identification_number_name,mcid_identification_number_name,,TEXT,
month_of_crash_name,month_of_crash_name,,TEXT,
manner_of_collision_name,manner_of_collision_name,,TEXT,
hazardous_material_involvement_name,hazardous_material_involvement_name,,TEXT,
hazardous_material_placard,hazardous_material_placard,,DOUBLE,
vehicle_make_name,vehicle_make_name,,TEXT,
vehicle_configuration,vehicle_configuration,,DOUBLE,
first_harmful_event_name,first_harmful_event_name,,TEXT,
release_of_hazardous_material_from_the_cargo_compartment,release_of_hazardous_material_from_the_cargo_compartment,,DOUBLE,
minute_of_crash,minute_of_crash,,DOUBLE,
hit_and_run_name,hit_and_run_name,,TEXT,
month_of_crash,month_of_crash,,DOUBLE,
first_harmful_event,first_harmful_event,,DOUBLE,
motor_carrier_identification_number_name,motor_carrier_identification_number_name,,TEXT,
fatalities_in_vehicle,fatalities_in_vehicle,,DOUBLE,
manner_of_collision,manner_of_collision,,DOUBLE,
vehicle_identification_number_vin_name,vehicle_identification_number_vin_name,,TEXT,
registered_vehicle_owner_name,registered_vehicle_owner_name,,TEXT,
day_of_crash,day_of_crash,,DOUBLE,
vehicle_configuration_name,vehicle_configuration_name,,TEXT,
emergency_motor_vehicle_use_name,emergency_motor_vehicle_use_name,,TEXT,
extent_of_damage,extent_of_damage,,DOUBLE,
unit_type_name,unit_type_name,,TEXT,
fire_occurrence,fire_occurrence,,DOUBLE,
