original_column_name,column_name,column_description,data_format,value_description
consecutive_number,consecutive_number,,DOUBLE,
crash_location_pedestrian,crash_location_pedestrian,,TEXT,
crash_type_pedestrian_name,crash_type_pedestrian_name,,TEXT,
crash_type_bicycle,crash_type_bicycle,,DOUBLE,
crash_group_pedestrian_name,crash_group_pedestrian_name,,TEXT,
vehicle_number,vehicle_number,,DOUBLE,
pedestrian_scenario,pedestrian_scenario,,TEXT,
age,age,,DOUBLE,
school_zone,school_zone,,TEXT,
bicyclist_position,bicyclist_position,,TEXT,
motorist_maneuver,motorist_maneuver,,TEXT,
bicyclist_initial_direction_of_travel,bicyclist_initial_direction_of_travel,,TEXT,
pedestrian_scenario_name,pedestrian_scenario_name,,TEXT,
pedestrian_position,pedestrian_position,,TEXT,
crash_type_pedestrian,crash_type_pedestrian,,DOUBLE,
marked_crosswalk_present,marked_crosswalk_present,,TEXT,
sidewalk_present,sidewalk_present,,TEXT,
crash_location_bicycle,crash_location_bicycle,,TEXT,
person_type,person_type,,DOUBLE,
intersection_leg,intersection_leg,,TEXT,
crash_group_bicycle,crash_group_bicycle,,DOUBLE,
pedestrian_initial_direction_of_travel,pedestrian_initial_direction_of_travel,,TEXT,
crash_group_bicycle_name,crash_group_bicycle_name,,TEXT,
sex,sex,,TEXT,
person_number,person_number,,DOUBLE,
motorist_initial_direction_of_travel,motorist_initial_direction_of_travel,,TEXT,
state_number,state_number,,DOUBLE,
person_type_name,person_type_name,,TEXT,
crash_type_bicycle_name,crash_type_bicycle_name,,TEXT,
crash_group_pedestrian,crash_group_pedestrian,,DOUBLE,
