original_column_name,column_name,column_description,data_format,value_description
consecutive_number,consecutive_number,,DOUBLE,
person_number,person_number,,DOUBLE,
vehicle_number,vehicle_number,,DOUBLE,
make_model_combined,make_model_combined,,DOUBLE,
alcohol_test_status1,alcohol_test_status1,,TEXT,
race_name,race_name,,TEXT,
drug_test_type2,drug_test_type2,,TEXT,
drug_test_type3,drug_test_type3,,TEXT,
injury_severity_name,injury_severity_name,,TEXT,
land_use_name,land_use_name,,TEXT,
air_bag_deployed,air_bag_deployed,,DOUBLE,
initial_contact_point,initial_contact_point,,DOUBLE,
hispanic_origin_name,hispanic_origin_name,,TEXT,
method_of_drug_determination_by_police,method_of_drug_determination_by_police,,TEXT,
person_type_name,person_type_name,,TEXT,
related_factors_person_level1,related_factors_person_level1,,DOUBLE,
ejection_path_name,ejection_path_name,,TEXT,
restraint_system_helmet_use_name,restraint_system_helmet_use_name,,TEXT,
school_bus_related,school_bus_related,,TEXT,
seating_position_name,seating_position_name,,TEXT,
method_of_alcohol_determination_by_police,method_of_alcohol_determination_by_police,,TEXT,
drug_test_type5,drug_test_type5,,DOUBLE,
month_of_death,month_of_death,,DOUBLE,
fire_occurrence,fire_occurrence,,TEXT,
special_use_name,special_use_name,,TEXT,
number_of_motor_vehicle_striking_non_motorist,number_of_motor_vehicle_striking_non_motorist,,DOUBLE,
vehicle_trailing,vehicle_trailing,,TEXT,
emergency_motor_vehicle_use,emergency_motor_vehicle_use,,TEXT,
drug_test_type4,drug_test_type4,,DOUBLE,
race,race,,DOUBLE,
hour_of_crash,hour_of_crash,,DOUBLE,
non_motorist_location_at_time_of_crash,non_motorist_location_at_time_of_crash,,DOUBLE,
month_of_crash,month_of_crash,,DOUBLE,
restraint_system_helmet_use,restraint_system_helmet_use,,DOUBLE,
died_at_scene_en_route,died_at_scene_en_route,,TEXT,
alcohol_test_status2,alcohol_test_status2,,TEXT,
timestamp_of_crash,timestamp_of_crash,,DOUBLE,
sex,sex,,TEXT,
police_reported_alcohol_involvement,police_reported_alcohol_involvement,,TEXT,
drug_test_type6,drug_test_type6,,DOUBLE,
lag_hours,lag_hours,,DOUBLE,
alcohol_test_status3_name,alcohol_test_status3_name,,TEXT,
death_time,death_time,,DOUBLE,
related_factors_person_level3,related_factors_person_level3,,DOUBLE,
year_of_death,year_of_death,,DOUBLE,
number_of_motor_vehicles_in_transport_mvit,number_of_motor_vehicles_in_transport_mvit,,DOUBLE,
related_factors_person_level2,related_factors_person_level2,,DOUBLE,
minute_of_crash,minute_of_crash,,DOUBLE,
land_use,land_use,,TEXT,
day_of_crash,day_of_crash,,DOUBLE,
ejection_name,ejection_name,,TEXT,
police_reported_drug_involvement,police_reported_drug_involvement,,TEXT,
ejection_path,ejection_path,,DOUBLE,
transported_to_first_treatment_facility_name,transported_to_first_treatment_facility_name,,TEXT,
drug_test_type1,drug_test_type1,,TEXT,
special_use,special_use,,DOUBLE,
lag_minutes,lag_minutes,,DOUBLE,
person_type,person_type,,DOUBLE,
county,county,,DOUBLE,
hour_of_death,hour_of_death,,DOUBLE,
functional_system,functional_system,,TEXT,
functional_system_name,functional_system_name,,TEXT,
body_type,body_type,,DOUBLE,
transported_to_first_treatment_facility,transported_to_first_treatment_facility,,DOUBLE,
vehicle_make,vehicle_make,,DOUBLE,
indication_of_misuse_of_restraint_system_helmet,indication_of_misuse_of_restraint_system_helmet,,TEXT,
body_type_name,body_type_name,,TEXT,
day_of_death,day_of_death,,DOUBLE,
hispanic_origin,hispanic_origin,,DOUBLE,
injury_severity,injury_severity,,DOUBLE,
age,age,,DOUBLE,
minute_of_death,minute_of_death,,DOUBLE,
drug_test_type6_name,drug_test_type6_name,,TEXT,
state_number,state_number,,DOUBLE,
vehicle_make_name,vehicle_make_name,,TEXT,
first_harmful_event,first_harmful_event,,DOUBLE,
alcohol_test_status3,alcohol_test_status3,,TEXT,
drug_test_type4_name,drug_test_type4_name,,TEXT,
first_harmful_event_name,first_harmful_event_name,,TEXT,
fatal_injury_at_work,fatal_injury_at_work,,TEXT,
extrication,extrication,,TEXT,
initial_contact_point_name,initial_contact_point_name,,TEXT,
manner_of_collision_name,manner_of_collision_name,,TEXT,
non_motorist_location_at_time_of_crash_name,non_motorist_location_at_time_of_crash_name,,TEXT,
ejection,ejection,,DOUBLE,
drug_test_type5_name,drug_test_type5_name,,TEXT,
air_bag_deployed_name,air_bag_deployed_name,,TEXT,
manner_of_collision,manner_of_collision,,DOUBLE,
drug_test_status,drug_test_status,,TEXT,
seating_position,seating_position,,DOUBLE,
rollover,rollover,,TEXT,
