original_column_name,column_name,column_description,data_format,value_description
consecutive_number,consecutive_number,,DOUBLE,
state_number,state_number,,DOUBLE,
nm_propad,nm_propad,,TEXT,
nm_helmet,nm_helmet,,TEXT,
nm_propad_name,nm_propad_name,,TEXT,
nm_refclo_name,nm_refclo_name,,TEXT,
nm_othpre,nm_othpre,,TEXT,
nm_refclo,nm_refclo,,TEXT,
vehicle_number,vehicle_number,,DOUBLE,
nm_othpro,nm_othpro,,TEXT,
nm_light,nm_light,,TEXT,
person_number,person_number,,DOUBLE,
nm_othpro_name,nm_othpro_name,,TEXT,
state_name,state_name,,TEXT,
nm_othpre_name,nm_othpre_name,,TEXT,
nm_helmet_name,nm_helmet_name,,TEXT,
nm_light_name,nm_light_name,,TEXT,
