original_column_name,column_name,column_description,data_format,value_description
call_number,call_number,,DOUBLE,
incident_number,incident_number,,DOUBLE,
row_id,row_id,,TEXT,
location_geom,location_geom,,BLOB,
latitude,latitude,,DOUBLE,
als_unit,als_unit,,BOOLEAN,
watch_date,watch_date,,DATE,
priority,priority,,TEXT,
on_scene_timestamp,on_scene_timestamp,,DOUBLE,
hospital_timestamp,hospital_timestamp,,DOUBLE,
entry_timestamp,entry_timestamp,,DOUBLE,
transport_timestamp,transport_timestamp,,DOUBLE,
call_type,call_type,,TEXT,
final_priority,final_priority,,DOUBLE,
call_type_group,call_type_group,,TEXT,
response_timestamp,response_timestamp,,DOUBLE,
call_final_disposition,call_final_disposition,,TEXT,
dispatch_timestamp,dispatch_timestamp,,DOUBLE,
station_area,station_area,,TEXT,
fire_prevention_district,fire_prevention_district,,TEXT,
unit_type,unit_type,,TEXT,
address,address,,TEXT,
original_priority,original_priority,,TEXT,
neighborhood_name,neighborhood_name,,TEXT,
longitude,longitude,,DOUBLE,
supervisor_district,supervisor_district,,TEXT,
available_timestamp,available_timestamp,,DOUBLE,
received_timestamp,received_timestamp,,DOUBLE,
city,city,,TEXT,
zipcode_of_incident,zipcode_of_incident,,TEXT,
battalion,battalion,,TEXT,
unit_sequence_in_call_dispatch,unit_sequence_in_call_dispatch,,DOUBLE,
call_date,call_date,,DATE,
unit_id,unit_id,,TEXT,
number_of_alarms,number_of_alarms,,DOUBLE,
box,box,,TEXT,
